"x"
"1" "SAR models: rho is the autocorrelation coef.
Uses dn_general_trade network"
"x"
"1","model_art05"
"Estimate","Std. Error","Pr(>|z|)"
"factor(toa)9",-0.0156418794253546,0.0124826879784735,0.210174472353291
"factor(toa)10",-0.00452613438208107,NA,NA
"factor(continent)Pacific",-0.00103594642674185,NA,NA
"factor(continent)Europe",0.00455887407163318,0.00521851258649229,0.382338059988355
"factor(continent)Africa",0.000398187776266437,NA,NA
"factor(continent)America",-0.00535488799238943,0.00502676162356837,0.286751097219776
"GDP",3.58527092483509e-07,1.51874953491852e-07,0.0182418107991442
"I(tobac_prod/population)",-0.522692284933327,0.743860451333844,0.482258191739244
"democracy",0.000779417255141544,NA,NA
"I(GDP/population)",-0.0214290331245639,0.00654079820614032,0.00105210035559233
"x"
"1","model_art06_sartobit"
"Estimate","Std. Dev","Pr(>|z|)"
"(Intercept)",-0.811814838237893,0.283263265064514,0.00420327752887695
"factor(toa)3",0.240204091690259,0.222156409753863,0.279727475964312
"factor(toa)4",0.0534622034705576,0.210638454887529,0.799669455651555
"factor(toa)5",-0.348266788163108,0.213361053318424,0.102783568673492
"factor(toa)6",-1.38032807769931,0.945011581619622,0.144276885651168
"factor(toa)7",-3.89576043921516,1.46777739837534,0.00801586639571461
"factor(toa)8",-0.848063510898205,0.386077131288864,0.0281676051030735
"factor(toa)9",-1.16833233051192,0.690365384665858,0.0907444360930438
"factor(toa)10",-0.341384301937834,0.239263771240126,0.15379767648108
"factor(continent)Pacific",-0.529257006315692,0.184305657298123,0.00412868100814423
"factor(continent)Europe",0.0605021033536798,0.130016182046568,0.641738989658412
"factor(continent)Africa",-0.083325913902992,0.122964845064967,0.498081967432033
"factor(continent)America",-0.066783970004688,0.130136491993912,0.607881943176499
"GDP",7.40171057946019e-06,2.81407485258959e-06,0.00860083715201299
"I(tobac_prod/population)",6.9656311657373,21.0678149453993,0.740960981366792
"democracy",0.0528977791115908,0.0184852079272059,0.00426060675769713
"I(GDP/population)",-0.917943355676376,0.301209147630778,0.0023389397881497
"sige",0.353495494376139,0.124897510881073,0.00469931061964046
"rho",0.618826,0.0559536641922273,0
"x"
"1","model_art08"
"Estimate","Std. Error","Pr(>|z|)"
"rho",0.687069284950066,0.024508630969574,0
"(Intercept)",0.0104158987416411,0.0526012779213765,0.843032484526826
"factor(toa)3",0.0225610133795792,0.0553910288316926,0.683784383613234
"factor(toa)4",-0.00898167427154109,0.0644864054820081,0.889228798970131
"factor(toa)5",-0.032587648739801,0.0615590840157425,0.596547493192849
"factor(toa)6",-0.0379788897431081,0.0678265604426321,0.575519504140762
"factor(toa)7",-0.0487627098825525,0.0607309174589139,0.422014868397427
"factor(toa)8",-0.0382516938122912,0.071655779575084,0.593462158951034
"factor(toa)9",-0.042074908760382,0.0729474038372608,0.56408525539301
"factor(toa)10",-0.0240447254222307,0.0600447657351561,0.688827568821673
"factor(continent)Pacific",-0.00172014159835091,0.0525542987260204,0.97388930229121
"factor(continent)Europe",0.00597170018219984,0.0366278044703859,0.870489026937243
"factor(continent)Africa",-0.00229415281683949,0.0372804364187405,0.950930980246673
"factor(continent)America",-0.013540036797342,0.03595688383187,0.706498290490798
"GDP",4.8727585246832e-07,2.86006188231296e-07,0.0884325018274872
"I(tobac_prod/population)",-1.11274343360915,1.48045304033711,0.452277450982244
"democracy",0.00143296491892821,0.00302952197236273,0.636212937559373
"I(GDP/population)",-0.0296681303052435,0.0120173438196243,0.0135576046364918
"x"
"1","model_art08_sartobit"
"Estimate","Std. Dev","Pr(>|z|)"
"(Intercept)",-0.959120701745862,0.310007322570247,0.00200429826172255
"factor(toa)3",0.278406384064138,0.271448168853408,0.305194159618306
"factor(toa)4",0.00244716129314717,0.273687300973414,0.992866784004147
"factor(toa)5",-0.674058873208317,0.305825109566693,0.0276385676461495
"factor(toa)6",-1.4226726595054,0.727647095679726,0.0507088415405119
"factor(toa)7",-2.33093750902188,0.743340275922477,0.00174018437212609
"factor(toa)8",-2.12699924399368,1.28247073404042,0.0973773950718426
"factor(toa)9",-1.61980806383918,0.820397700843337,0.048478074787949
"factor(toa)10",-0.555092501778022,0.296989731489114,0.061766993947578
"factor(continent)Pacific",-0.71371299899603,0.205381676081181,0.000522148816634704
"factor(continent)Europe",0.0806281847883396,0.172809042787564,0.640857992346049
"factor(continent)Africa",-0.136524822578778,0.14599561712043,0.349839725343878
"factor(continent)America",-0.136738754174254,0.169612221331981,0.420236801262768
"GDP",1.00117839193826e-05,3.68285755448014e-06,0.00661751557821755
"I(tobac_prod/population)",8.55457720325138,26.4325602688967,0.746247653884769
"democracy",0.0740289405128518,0.0188664587684645,9.02345055759923e-05
"I(GDP/population)",-1.14412452221573,0.34876636011203,0.00105492091169523
"sige",0.650146227079425,0.118249578585437,4.35540523646694e-08
"rho",0.704981,0.0409397692189844,0
"x"
"1","model_art11"
"Estimate","Std. Error","Pr(>|z|)"
"rho",1.01005607127683,0.0231999099067168,0
"(Intercept)",0.282743855232976,0.0466548900223528,1.35845712456728e-09
"factor(toa)3",-0.166021342464547,0.0524458779092705,0.00154776932290179
"factor(toa)4",0.0124579996874321,NA,NA
"factor(toa)5",0.178230404052855,0.0430946904937678,3.5374222145057e-05
"factor(toa)6",0.153917902727346,0.087897180794777,0.079926434097116
"factor(toa)7",0.108577057995677,0.0860218411079145,0.206875615323052
"factor(toa)8",0.281036676376803,0.119923372088235,0.0191053620311863
"factor(toa)9",0.128108017810305,0.148863085839646,0.389471539159536
"factor(toa)10",-0.128066079421177,0.0432199089171247,0.00304530886329157
"factor(continent)Pacific",0.129499881371123,0.101389897564191,0.201515271325933
"factor(continent)Europe",-0.0945654659880416,0.0842608877626946,0.261737571359824
"factor(continent)Africa",-0.0807030891895731,0.059833451749801,0.177402667388499
"factor(continent)America",-0.0169459959106552,0.0500256534219711,0.73480099512385
"GDP",-3.68686767104214e-06,2.04370479507745e-06,0.071229449075257
"I(tobac_prod/population)",-14.7392050256103,9.75955903957919,0.130984062039547
"democracy",-0.0120033806914606,0.0109041210851778,0.270978753376855
"I(GDP/population)",0.113472374544532,0.0864305046650119,0.189225361863338
"x"
"1","model_art13"
"Estimate","Std. Error","Pr(>|z|)"
"rho",1.00205885576404,0.0248792030666463,0
"(Intercept)",0.654527470207322,0.266279996270681,0.0139696754276017
"factor(toa)3",-0.399929220432904,0.237730264009858,0.0925142705779638
"factor(toa)4",0.035030862746339,0.183330148621379,0.848462327109989
"factor(toa)5",0.434988037489131,0.24928290669376,0.0809922952182935
"factor(toa)6",0.384422586300803,0.335489261820967,0.251854489551494
"factor(toa)7",0.282028469500553,0.310596769514083,0.363866990205784
"factor(toa)8",0.676211399282496,0.367088174148904,0.0654612115811162
"factor(toa)9",0.332754053168661,0.432358220966928,0.441521880434816
"factor(toa)10",-0.280863144863361,0.247361039999666,0.256191811153643
"factor(continent)Pacific",0.286999772835781,0.248196688730599,0.247542090367853
"factor(continent)Europe",-0.219424023621999,0.205089472682208,0.284666964121196
"factor(continent)Africa",-0.191585315747366,0.159379223249401,0.229335599322265
"factor(continent)America",-0.0395033279440371,0.148775808392076,0.790606961822431
"GDP",-8.88385411908162e-06,4.59375690913305e-06,0.0531257552160855
"I(tobac_prod/population)",-33.8101780247749,22.6637259912389,0.135746590268337
"democracy",-0.0275987768979572,0.0211354310498947,0.191618471219804
"I(GDP/population)",0.283894518307278,0.193605946007532,0.142552342465204
