"id","title","art","description","url"
"3.1.1.5","C115 - Details on focal point for tobacco control, tobacco control unit and national coordinating mechanism for tobacco control","5","C115 - Details on focal point for tobacco control, tobacco control unit and national coordinating mechanism for tobacco control","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.1.5"
"3.1.1.6","C116 - Progress made in implementing Article 5.1","5","C116 - Progress made in implementing Article 5.1","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.1.6"
"3.1.1.7","C117 - Additional information concerning general obligations","5","C117 - Additional information concerning general obligations","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.1.7"
"3.1.2.1","C121 - Interference by the tobacco industry","5","C121 - Interference by the tobacco industry","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.2.1"
"3.1.2.2","C122 - Public access to a wide range of information on the tobacco industry","5","C122 - Public access to a wide range of information on the tobacco industry","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.2.2"
"3.1.2.3","C123 - Details on the protection of public health policies","5","C123 - Details on the protection of public health policies","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.2.3"
"3.1.2.4","C124 - Progress made in protection of public health policies","5","C124 - Progress made in protection of public health policies","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.2.4"
"3.1.2.5","C125 - Use of guidelines on Article 5.3","5","C125 - Use of guidelines on Article 5.3","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.2.5"
"3.1.2.6","C126 - Details on the use of implementation guidelines","5","C126 - Details on the use of implementation guidelines","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.2.6"
"3.1.2.7","C127 - Additional information concerning protection of public health policies","5","C127 - Additional information concerning protection of public health policies","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.1.2.7"
"2.3.1","B31 - Existence of information on tobacco-related mortality","6","B31 - Existence of information on tobacco-related mortality","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.3.1"
"2.3.3","B33 - Additional information on tobacco-related mortality","6","B33 - Additional information on tobacco-related mortality","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.3.3"
"2.4.1","B41 - Existence of information on the economic burden of tobacco use","6","B41 - Existence of information on the economic burden of tobacco use","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.4.1"
"2.8.1","B81 - Proportion of the retail price consisting of taxes","6","B81 - Proportion of the retail price consisting of taxes","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.8.1"
"2.8.2a","B821 - Only specific tax levied","6","B821 - Only specific tax levied","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.8.2a"
"2.8.2b","B822 - Only ad valorem tax levied","6","B822 - Only ad valorem tax levied","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.8.2b"
"2.8.2c","B823 - Combination of specific and ad valorem taxes levied","6","B823 - Combination of specific and ad valorem taxes levied","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.8.2c"
"2.8.2d","B824 - Complex tax structure applied","6","B824 - Complex tax structure applied","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.8.2d"
"2.8.4","B84 - Trends in taxation","6","B84 - Trends in taxation","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.8.4"
"2.8.5","B85 - Tobacco tax earmarking","6","B85 - Tobacco tax earmarking","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.8.5"
"2.9.3","B93 - Trends in prices","6","B93 - Trends in prices","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.9.3"
"3.2.1.1","C211 - Tax policies to reduce tobacco consumption","6","C211 - Tax policies to reduce tobacco consumption","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.1.1"
"3.2.1.2","C212 - Tobacco sales to international travelers prohibited","6","C212 - Tobacco sales to international travelers prohibited","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.1.2"
"3.2.1.3","C213 - Tobacco imports by international travelers prohibited","6","C213 - Tobacco imports by international travelers prohibited","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.1.3"
"3.2.1.4","C214 - Progress made in implementing Article 6","6","C214 - Progress made in implementing Article 6","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.1.4"
"3.2.1.5","C215 - Guidelines for implementation of Article 6 utilized","6","C215 - Guidelines for implementation of Article 6 utilized","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.1.5"
"3.2.1.6","C216 - Details on the use of implementation guidelines","6","C216 - Details on the use of implementation guidelines","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.1.6"
"3.2.1.7","C217 - Additional information concerning price and tax measures","6","C217 - Additional information concerning price and tax measures","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.1.7"
"2.2.1","B21 - Availability of data on exposure to tobacco smoke","8","B21 - Availability of data on exposure to tobacco smoke","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.2.1"
"2.2.2","B22 - Details concerning data on exposure to tobacco smoke","8","B22 - Details concerning data on exposure to tobacco smoke","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=2.2.2"
"3.2.2.1","C221 - Tobacco smoking banned in all public places","8","C221 - Tobacco smoking banned in all public places","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.1"
"3.2.2.2.a","C2221 - National law providing for the ban","8","C2221 - National law providing for the ban","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.2.a"
"3.2.2.2.b","C2222 - Subnational law(s) providing for the ban","8","C2222 - Subnational law(s) providing for the ban","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.2.b"
"3.2.2.2.c","C2223 - Administrative and executive orders providing for the ban","8","C2223 - Administrative and executive orders providing for the ban","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.2.c"
"3.2.2.2.d","C2224 - Voluntary agreements providing for the ban","8","C2224 - Voluntary agreements providing for the ban","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.2.d"
"3.2.2.3","C223 - Explanation of type/nature and content of the measures providing the ban","8","C223 - Explanation of type/nature and content of the measures providing the ban","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.3"
"3.2.2.4","C224 - Mechanism/infrastructure for enforcement provided","8","C224 - Mechanism/infrastructure for enforcement provided","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.4"
"3.2.2.5","C225 - Details of the mechanism/infrastructure for enforcement","8","C225 - Details of the mechanism/infrastructure for enforcement","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.5"
"3.2.2.8","C228 - Progress made in implementing Article 8","8","C228 - Progress made in implementing Article 8","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.8"
"3.2.2.9","C229 - Use of guidelines on Article 8","8","C229 - Use of guidelines on Article 8","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.9"
"3.2.2.10","C2210 - Details on the use of implementation guidelines","8","C2210 - Details on the use of implementation guidelines","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.10"
"3.2.2.11","C2211 - Additional information concerning protection from exposure to tobacco smoke","8","C2211 - Additional information concerning protection from exposure to tobacco smoke","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.2.11"
"3.2.5.1","C251 - Packaging of tobacco products does not carry advertisement or promotion","11","C251 - Packaging of tobacco products does not carry advertisement or promotion","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.1"
"3.2.5.2","C252 - Misleading descriptors","11","C252 - Misleading descriptors","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.2"
"3.2.5.3","C253 - Health warnings required","11","C253 - Health warnings required","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.3"
"3.2.5.4","C254 - Health warnings approved by the competent national authority","11","C254 - Health warnings approved by the competent national authority","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.4"
"3.2.5.5","C255 - Rotated health warnings","11","C255 - Rotated health warnings","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.5"
"3.2.5.6","C256 - Large, clear, visible and legible health warnings","11","C256 - Large, clear, visible and legible health warnings","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.6"
"3.2.5.7","C257 - Minimum requirements of warnings mandated by law","11","C257 - Minimum requirements of warnings mandated by law","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.7"
"3.2.5.8","C258 - Health warnings occupying no less than 30%","11","C258 - Health warnings occupying no less than 30%","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.8"
"3.2.5.9","C259 - Health warnings occupying 50% or more","11","C259 - Health warnings occupying 50% or more","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.9"
"3.2.5.10","C2510 - Health warnings in the form of pictures or pictograms","11","C2510 - Health warnings in the form of pictures or pictograms","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.10"
"3.2.5.11","C2511 - Copyright to pictures owned by the Government","11","C2511 - Copyright to pictures owned by the Government","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.11"
"3.2.5.12","C2512 - Granting of license for the use of health warnings","11","C2512 - Granting of license for the use of health warnings","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.12"
"3.2.5.13.a","C25131 - Constituent of tobacco products","11","C25131 - Constituent of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.13.a"
"3.2.5.13.b","C25132 - Emissions of tobacco products","11","C25132 - Emissions of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.13.b"
"3.2.5.14","C2514 - Warning required in the principal language(s) of the country","11","C2514 - Warning required in the principal language(s) of the country","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.14"
"3.2.5.15","C2515 - Progress made in implementing Article 11","11","C2515 - Progress made in implementing Article 11","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.15"
"3.2.5.16","C2516 - Use of guidelines on Article 11","11","C2516 - Use of guidelines on Article 11","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.16"
"3.2.5.17","C2517 - Details on the use of implementation guidelines","11","C2517 - Details on the use of implementation guidelines","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.17"
"3.2.5.18","C2518 - Additional information concerning packaging and labelling","11","C2518 - Additional information concerning packaging and labelling","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.5.18"
"3.2.7.1","C271 - Comprehensive ban on all tobacco advertising, promotion and sponsorship","13","C271 - Comprehensive ban on all tobacco advertising, promotion and sponsorship","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.1"
"3.2.7.2.a","C2721 - Ban on display of tobacco products at points of sales","13","C2721 - Ban on display of tobacco products at points of sales","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.2.a"
"3.2.7.2.b","C2722 - Ban covering the domestic internet","13","C2722 - Ban covering the domestic internet","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.2.b"
"3.2.7.2.c","C2723 - Ban covering the global internet","13","C2723 - Ban covering the global internet","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.2.c"
"3.2.7.2.d","C2724 - Ban covering brand stretching and/or sharing","13","C2724 - Ban covering brand stretching and/or sharing","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.2.d"
"3.2.7.2.e","C2725 - Ban covering product placement","13","C2725 - Ban covering product placement","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.2.e"
"3.2.7.2.f","C2726 - Ban covering the depiction/use of tobacco in entertainment media","13","C2726 - Ban covering the depiction/use of tobacco in entertainment media","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.2.f"
"3.2.7.2.g","C2727 - Ban covering tobacco sponsorship","13","C2727 - Ban covering tobacco sponsorship","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.2.g"
"3.2.7.2.h","C2728 - Ban covering corporate social responsibility","13","C2728 - Ban covering corporate social responsibility","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.2.h"
"3.2.7.2.i","C2729 - Ban covering cross-border advertising originating from the country","13","C2729 - Ban covering cross-border advertising originating from the country","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.2.i"
"3.2.7.2.j","C27210 - Ban covering cross-border advertising entering the country","13","C27210 - Ban covering cross-border advertising entering the country","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.2.j"
"3.2.7.3","C273 - Precluded by constitution from undertaking a comprehensive ban","13","C273 - Precluded by constitution from undertaking a comprehensive ban","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.3"
"3.2.7.4","C274 - All tobacco advertising, promotion and sponsorship restricted","13","C274 - All tobacco advertising, promotion and sponsorship restricted","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.4"
"3.2.7.5","C275 - Cross-border advertising originating from the country restricted","13","C275 - Cross-border advertising originating from the country restricted","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.5"
"3.2.7.6","C276 - Advertising by false and misleading means prohibited","13","C276 - Advertising by false and misleading means prohibited","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.6"
"3.2.7.7","C277 - Use of warnings to accompany all advertising required","13","C277 - Use of warnings to accompany all advertising required","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.7"
"3.2.7.8","C278 - Use of direct or indirect incentives restricted","13","C278 - Use of direct or indirect incentives restricted","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.8"
"3.2.7.9","C279 - Disclosure of advertising expenditures required","13","C279 - Disclosure of advertising expenditures required","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.9"
"3.2.7.10.a","C27101 - Advertising restricted on radio","13","C27101 - Advertising restricted on radio","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.10.a"
"3.2.7.10.b","C27102 - Advertising restricted on television","13","C27102 - Advertising restricted on television","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.10.b"
"3.2.7.10.c","C27103 - Advertising restricted in print media","13","C27103 - Advertising restricted in print media","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.10.c"
"3.2.7.10.d","C27104 - Advertising restricted on the domestic internet","13","C27104 - Advertising restricted on the domestic internet","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.10.d"
"3.2.7.10.e","C27105 - Advertising restricted on the global internet","13","C27105 - Advertising restricted on the global internet","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.10.e"
"3.2.7.11.a","C27111 - Sponsorship of international events and activities restricted","13","C27111 - Sponsorship of international events and activities restricted","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.11.a"
"3.2.7.11.b","C27112 - Tobacco sponsorship of participants therein restricted","13","C27112 - Tobacco sponsorship of participants therein restricted","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.11.b"
"3.2.7.12","C2712 - Cooperation on the elimination of cross-border advertising","13","C2712 - Cooperation on the elimination of cross-border advertising","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.12"
"3.2.7.13","C2713 - Penalties imposed for cross-border advertising","13","C2713 - Penalties imposed for cross-border advertising","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.13"
"3.2.7.14","C2714 - Progress made in implementing Article 13","13","C2714 - Progress made in implementing Article 13","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.14"
"3.2.7.15","C2715 - Use of guidelines on Article 13","13","C2715 - Use of guidelines on Article 13","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.15"
"3.2.7.16","C2716 - Details on the use of implementation guidelines","13","C2716 - Details on the use of implementation guidelines","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.16"
"3.2.7.17","C2717 - Additional information concerning tobacco advertising, promotion and sponsorship","13","C2717 - Additional information concerning tobacco advertising, promotion and sponsorship","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.7.17"
"3.2.3.1","C231 - Testing and measuring the contents of tobacco products","9","C231 - Testing and measuring the contents of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.3.1"
"3.2.3.2","C232 - Testing and measuring the emissions of tobacco products","9","C232 - Testing and measuring the emissions of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.3.2"
"3.2.3.3","C233 - Regulating the contents of tobacco products","9","C233 - Regulating the contents of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.3.3"
"3.2.3.4","C234 - Regulating the emissions of tobacco products","9","C234 - Regulating the emissions of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.3.4"
"3.2.3.5","C235 - Progress made in implementing Article 9","9","C235 - Progress made in implementing Article 9","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.3.5"
"3.2.3.6","C236 - Use of guidelines on Article 9","9","C236 - Use of guidelines on Article 9","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.3.6"
"3.2.3.7","C237 - Details on the use of implementation guidelines","9","C237 - Details on the use of implementation guidelines","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.3.7"
"3.2.3.8","C238 - Additional information concerning regulation of the contents of tobacco products","9","C238 - Additional information concerning regulation of the contents of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.3.8"
"3.2.4.1.a","C2411 - Requiring disclosure of information about the contents of tobacco products","10","C2411 - Requiring disclosure of information about the contents of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.4.1.a"
"3.2.4.1.b","C2412 - Requiring disclosure of information about the emissions of tobacco products","10","C2412 - Requiring disclosure of information about the emissions of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.4.1.b"
"3.2.4.2.a","C2421 - Requiring public disclosure on the contents of tobacco products","10","C2421 - Requiring public disclosure on the contents of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.4.2.a"
"3.2.4.2.b","C2422 - Requiring public disclosure on the emissions of tobacco products","10","C2422 - Requiring public disclosure on the emissions of tobacco products","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.4.2.b"
"3.2.4.3","C243 - Progress made in implementing Article 10","10","C243 - Progress made in implementing Article 10","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.4.3"
"3.2.4.4","C244 - Use of guidelines on Article 10","10","C244 - Use of guidelines on Article 10","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.4.4"
"3.2.4.5"," - ","10","C246 - Relevant information","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.4.5"
"3.2.6.1","C261 - Implemented educational and public awareness programmes","12","C261 - Implemented educational and public awareness programmes","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.1"
"3.2.6.2.a","C2621 - Implemented educational programmes targeted to adults","12","C2621 - Implemented educational programmes targeted to adults","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.2.a"
"3.2.6.2.b","C2622 - Implemented educational programmes targeted to children and youth","12","C2622 - Implemented educational programmes targeted to children and youth","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.2.b"
"3.2.6.2.c","C2623 - Implemented educational programmes targeted to men","12","C2623 - Implemented educational programmes targeted to men","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.2.c"
"3.2.6.2.d","C2624 - Implemented educational programmes targeted to women","12","C2624 - Implemented educational programmes targeted to women","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.2.d"
"3.2.6.2.e","C2625 - Implemented educational programmes targeted to pregnant women","12","C2625 - Implemented educational programmes targeted to pregnant women","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.2.e"
"3.2.6.2.f","C2626 - Implemented educational programmes targeted to ethnic groups","12","C2626 - Implemented educational programmes targeted to ethnic groups","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.2.f"
"3.2.6.3.a","C2631 - Age differences reflected in educational programmes","12","C2631 - Age differences reflected in educational programmes","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.3.a"
"3.2.6.3.b","C2632 - Gender differences reflected in educational programmes","12","C2632 - Gender differences reflected in educational programmes","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.3.b"
"3.2.6.3.c","C2633 - Educational background differences reflected in educational programmes","12","C2633 - Educational background differences reflected in educational programmes","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.3.c"
"3.2.6.3.d","C2634 - Cultural differences reflected in educational programmes","12","C2634 - Cultural differences reflected in educational programmes","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.3.d"
"3.2.6.3.e","C2635 - Socioeconomic differences reflected in educational programmes","12","C2635 - Socioeconomic differences reflected in educational programmes","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.3.e"
"3.2.6.4.a","C2641 - Programmes covering the health risks of tobacco consumption","12","C2641 - Programmes covering the health risks of tobacco consumption","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.4.a"
"3.2.6.4.b","C2642 - Programmes covering the risks of exposure to tobacco smoke","12","C2642 - Programmes covering the risks of exposure to tobacco smoke","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.4.b"
"3.2.6.4.c","C2643 - Programmes covering the benefits of cessation of tobacco use","12","C2643 - Programmes covering the benefits of cessation of tobacco use","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.4.c"
"3.2.6.4.d(1)","C2644 - Programmes covering economic consequences of tobacco production","12","C2644 - Programmes covering economic consequences of tobacco production","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.4.d(1)"
"3.2.6.4.d(2)","C2645 - Programmes covering economic consequences of tobacco consumption","12","C2645 - Programmes covering economic consequences of tobacco consumption","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.4.d(2)"
"3.2.6.4.e(1)","C2646 - Programmes covering environmental consequences of tobacco production","12","C2646 - Programmes covering environmental consequences of tobacco production","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.4.e(1)"
"3.2.6.4.e(2)","C2647 - Programmes covering environmental consequences of tobacco consumption","12","C2647 - Programmes covering environmental consequences of tobacco consumption","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.4.e(2)"
"3.2.6.5.a","C2651 - Public agencies involved in programmes and strategies","12","C2651 - Public agencies involved in programmes and strategies","http://untobaccocontrol.org/impldb/indicator-report/?wpdtvar=3.2.6.5.a"
