Art. 5
General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
Gov. Ownership,1.02 (0.62) ,1.03 (0.62) *,1.05 (0.61) *,1.38 (0.85) ,1.02 (0.61) *,0.99 (0.61) ,0.89 (0.63) ,1.08 (0.64) *,1.03 (0.66) ,1.03 (0.63) 
Tobacco Prod. PP,-0.28 (0.23) ,-0.27 (0.22) ,-0.29 (0.23) ,-0.45 (0.35) ,-0.27 (0.22) ,-0.28 (0.22) ,-0.28 (0.23) ,-0.32 (0.23) ,-0.36 (0.25) ,-0.28 (0.22) 
Years since Sign.,0.40 (0.19) **,0.39 (0.19) **,0.40 (0.18) **,0.58 (0.27) **,0.41 (0.18) **,0.40 (0.18) **,0.38 (0.18) **,0.44 (0.19) **,0.46 (0.20) **,0.39 (0.18) **
Years since Ratif.,0.73 (0.14) ***,0.73 (0.14) ***,0.73 (0.14) ***,0.99 (0.28) ***,0.73 (0.14) ***,0.72 (0.14) ***,0.72 (0.14) ***,0.76 (0.15) ***,0.83 (0.17) ***,0.73 (0.14) ***
GDP pp,0.56 (0.22) **,0.54 (0.22) **,0.57 (0.21) ***,0.63 (0.28) **,0.55 (0.21) **,0.54 (0.21) **,0.52 (0.22) **,0.46 (0.22) **,0.42 (0.23) *,0.55 (0.22) **
Democracy,0.49 (0.27) *,0.50 (0.26) *,0.49 (0.26) *,0.62 (0.36) *,0.49 (0.26) *,0.48 (0.27) *,0.47 (0.26) *,0.45 (0.27) ,0.38 (0.28) ,0.48 (0.26) *
PolShift,0.15 (0.43) ,0.14 (0.43) ,0.16 (0.43) ,0.09 (0.55) ,0.18 (0.43) ,0.15 (0.44) ,0.14 (0.42) ,0.21 (0.44) ,0.25 (0.46) ,0.16 (0.42) 
Art. 8
rho,-0.13 (0.15) ,0.11 (0.09) ,-0.04 (0.09) ,-0.11 (0.25) ,0.03 (0.07) ,-0.02 (0.10) ,0.07 (0.07) ,-0.18 (0.19) ,-0.08 (0.16) ,0.05 (0.09) 
Gov. Ownership,0.82 (0.50) ,0.74 (0.51) ,0.79 (0.49) ,0.85 (0.53) ,0.76 (0.51) ,0.78 (0.50) ,0.70 (0.51) ,0.80 (0.50) ,0.78 (0.52) ,0.76 (0.50) 
Tobacco Prod. PP,-0.28 (0.19) ,-0.27 (0.17) ,-0.25 (0.18) ,-0.29 (0.20) ,-0.25 (0.18) ,-0.26 (0.18) ,-0.24 (0.18) ,-0.28 (0.19) ,-0.26 (0.18) ,-0.26 (0.18) 
Years since Sign.,0.28 (0.15) *,0.23 (0.14) ,0.26 (0.14) *,0.29 (0.15) *,0.23 (0.14) ,0.25 (0.14) *,0.24 (0.14) *,0.29 (0.15) *,0.26 (0.14) *,0.24 (0.14) *
Years since Ratif.,0.56 (0.11) ***,0.54 (0.11) ***,0.55 (0.11) ***,0.59 (0.13) ***,0.55 (0.11) ***,0.55 (0.11) ***,0.53 (0.11) ***,0.57 (0.12) ***,0.56 (0.12) ***,0.54 (0.11) ***
GDP pp,0.17 (0.18) ,0.14 (0.17) ,0.17 (0.17) ,0.18 (0.18) ,0.16 (0.17) ,0.15 (0.18) ,0.15 (0.18) ,0.12 (0.18) ,0.14 (0.18) ,0.16 (0.17) 
Democracy,0.45 (0.22) **,0.42 (0.21) **,0.41 (0.22) *,0.44 (0.23) *,0.42 (0.21) **,0.42 (0.22) *,0.43 (0.21) **,0.39 (0.22) *,0.41 (0.22) *,0.43 (0.21) **
PolShift,-0.02 (0.35) ,-0.09 (0.35) ,-0.03 (0.36) ,-0.03 (0.37) ,-0.04 (0.35) ,-0.04 (0.35) ,-0.07 (0.35) ,-0.01 (0.36) ,-0.02 (0.36) ,-0.05 (0.36) 
Art. 11
rho,-0.10 (0.17) ,0.01 (0.10) ,-0.01 (0.09) ,-0.23 (0.32) ,0.05 (0.08) ,0.15 (0.12) ,0.13 (0.09) ,-0.11 (0.20) ,-0.08 (0.21) ,0.12 (0.11) 
Gov. Ownership,2.49 (1.26) **,2.41 (1.21) **,2.41 (1.23) *,2.98 (1.52) *,2.33 (1.23) *,2.33 (1.24) *,2.05 (1.24) *,2.51 (1.29) *,2.49 (1.27) *,2.27 (1.26) *
Tobacco Prod. PP,-0.38 (0.43) ,-0.36 (0.42) ,-0.34 (0.41) ,-0.47 (0.53) ,-0.37 (0.41) ,-0.37 (0.42) ,-0.32 (0.42) ,-0.39 (0.44) ,-0.39 (0.43) ,-0.34 (0.43) 
Years since Sign.,0.46 (0.39) ,0.44 (0.39) ,0.44 (0.38) ,0.64 (0.47) ,0.42 (0.38) ,0.44 (0.38) ,0.42 (0.38) ,0.49 (0.39) ,0.48 (0.40) ,0.40 (0.38) 
Years since Ratif.,2.00 (0.32) ***,1.95 (0.30) ***,1.96 (0.30) ***,2.34 (0.48) ***,1.95 (0.29) ***,1.90 (0.30) ***,1.92 (0.30) ***,2.00 (0.33) ***,2.03 (0.34) ***,1.91 (0.31) ***
GDP pp,0.55 (0.44) ,0.51 (0.44) ,0.51 (0.43) ,0.56 (0.50) ,0.49 (0.43) ,0.47 (0.43) ,0.45 (0.43) ,0.44 (0.46) ,0.45 (0.45) ,0.53 (0.43) 
Democracy,1.04 (0.54) *,0.96 (0.53) *,0.95 (0.53) *,1.10 (0.64) *,0.95 (0.53) *,0.88 (0.53) *,0.95 (0.52) *,0.97 (0.55) *,0.92 (0.56) *,1.05 (0.53) **
PolShift,-1.08 (0.89) ,-1.07 (0.88) ,-1.00 (0.85) ,-1.12 (1.03) ,-1.00 (0.88) ,-1.06 (0.87) ,-1.11 (0.87) ,-1.02 (0.92) ,-0.99 (0.89) ,-1.12 (0.89) 
Art. 13
rho,-0.18 (0.17) ,-0.11 (0.11) ,-0.07 (0.09) ,-0.51 (0.30) *,-0.03 (0.08) ,-0.19 (0.15) ,-0.02 (0.09) ,-0.19 (0.20) ,-0.20 (0.20) ,0.19 (0.13) 
Gov. Ownership,3.13 (1.65) *,3.19 (1.61) **,3.12 (1.63) *,6.04 (3.16) *,3.09 (1.62) *,3.19 (1.64) *,3.07 (1.60) *,3.21 (1.65) *,3.01 (1.68) *,2.67 (1.65) 
Tobacco Prod. PP,-0.30 (0.56) ,-0.19 (0.53) ,-0.24 (0.54) ,-0.93 (1.22) ,-0.21 (0.54) ,-0.23 (0.54) ,-0.23 (0.55) ,-0.28 (0.57) ,-0.30 (0.57) ,-0.18 (0.54) 
Years since Sign.,0.86 (0.50) *,0.84 (0.50) *,0.87 (0.51) *,2.30 (1.17) *,0.83 (0.51) ,0.83 (0.51) ,0.81 (0.49) *,0.88 (0.53) *,0.88 (0.52) *,0.72 (0.49) 
Years since Ratif.,2.26 (0.39) ***,2.22 (0.38) ***,2.22 (0.39) ***,4.31 (1.19) ***,2.22 (0.38) ***,2.28 (0.39) ***,2.21 (0.38) ***,2.28 (0.41) ***,2.36 (0.44) ***,2.13 (0.39) ***
GDP pp,1.12 (0.58) *,1.12 (0.56) **,1.06 (0.58) *,1.14 (1.01) ,1.04 (0.58) *,1.06 (0.57) *,1.06 (0.57) *,0.88 (0.58) ,0.85 (0.59) ,1.07 (0.55) *
Democracy,1.23 (0.72) *,1.09 (0.70) ,1.05 (0.69) ,1.66 (1.33) ,1.06 (0.69) ,1.20 (0.70) *,1.07 (0.70) ,1.03 (0.73) ,0.94 (0.75) ,1.25 (0.68) *
PolShift,-0.76 (1.16) ,-0.70 (1.14) ,-0.72 (1.15) ,-0.99 (2.03) ,-0.74 (1.13) ,-0.86 (1.13) ,-0.74 (1.14) ,-0.65 (1.17) ,-0.63 (1.19) ,-0.93 (1.14) 
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
