"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"","(0.65)","(0.78)","(0.63)","(1.60)","(2.04)"
"(Intercept)","2.03 ","-2.51 ","1.41 ","4.25 ","1.03 "
"","(1.33)","(1.58)","(1.28)","(3.31)","(4.16)"
"Bloomberg FCTC Count","-0.18 ","-0.15 ","0.42 ","0.30 ","1.13 "
"","(0.31)","(0.36)","(0.30)","(0.75)","(0.96)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.11","0.07","0.06","0.04"
"Tobacco Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.02 ","0.24 **","0.26 *","0.28 **","0.09 "
"","(0.08)","(0.09)","(0.14)","(0.11)","(0.11)"
"Gov. Ownership","-0.01 ","0.11 ","0.43 ","0.47 ","0.49 "
"","(0.42)","(0.50)","(0.40)","(1.04)","(1.30)"
"Tobacco Prod. PP","0.16 ","-0.29 ","-0.48 **","0.07 ","0.39 "
"","(0.22)","(0.25)","(0.20)","(0.53)","(0.67)"
"Years since Sign.","0.14 ","0.36 **","0.12 ","0.01 ","0.14 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.42)"
"Years since Ratif.","0.17 *","0.11 ","0.13 ","0.94 ***","0.71 **"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.16 ","0.24 ","-0.22 ","-0.03 ","0.20 "
"","(0.15)","(0.18)","(0.14)","(0.37)","(0.47)"
"Democracy","0.08 ","-0.02 ","0.12 ","-0.67 ","-0.12 "
"","(0.17)","(0.20)","(0.16)","(0.43)","(0.54)"
"% Female Smoke","-0.01 ","0.40 **","0.47 ***","0.36 ","0.93 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.52)"
"% Male Smoke","0.23 ","0.31 ","0.11 ","0.25 ","0.06 "
"","(0.18)","(0.21)","(0.17)","(0.46)","(0.57)"
"Labor","-0.14 ","-0.07 ","-0.02 ","-0.65 ","-1.05 *"
"","(0.19)","(0.23)","(0.18)","(0.48)","(0.60)"
"Women's rights","-0.16 ","0.55 ","0.35 ","-1.10 ","2.51 *"
"","(0.45)","(0.53)","(0.43)","(1.12)","(1.40)"
"Population","0.11 ","0.26 *","-0.05 ","0.05 ","0.13 "
"","(0.12)","(0.14)","(0.11)","(0.29)","(0.36)"
"Eastern Mediterranean","0.37 ","-0.74 ","0.95 ","-3.00 *","1.94 "
"","(0.70)","(0.82)","(0.66)","(1.74)","(2.17)"
"European","0.36 ","-0.14 ","-0.34 ","-0.41 ","1.63 "
"","(0.45)","(0.53)","(0.43)","(1.12)","(1.42)"
"African","0.33 ","-0.56 ","-0.38 ","-2.09 **","1.36 "
"","(0.42)","(0.50)","(0.40)","(1.07)","(1.35)"
"Western Pacific","0.60 ","-0.13 ","-0.05 ","-1.73 ","2.59 "
"","(0.53)","(0.62)","(0.50)","(1.31)","(1.66)"
"South-East Asia","0.35 ","0.23 ","-0.14 ","-2.18 ","0.69 "
"","(0.66)","(0.77)","(0.62)","(1.62)","(2.04)"
"(Intercept)","2.09 ","-1.50 ","1.29 ","6.35 *","1.67 "
"","(1.30)","(1.54)","(1.25)","(3.27)","(4.11)"
"Bloomberg FCTC Count","-0.18 ","-0.22 ","0.38 ","0.12 ","1.09 "
"","(0.31)","(0.37)","(0.29)","(0.77)","(0.96)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.11","0.08","0.06","0.04"
"Minimal distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.07 ","0.25 *","0.16 ","0.33 **","0.47 ***"
"","(0.10)","(0.13)","(0.15)","(0.14)","(0.16)"
"Gov. Ownership","0.00 ","0.25 ","0.43 ","0.73 ","0.88 "
"","(0.42)","(0.50)","(0.40)","(1.04)","(1.27)"
"Tobacco Prod. PP","0.15 ","-0.29 ","-0.47 **","0.08 ","0.29 "
"","(0.22)","(0.26)","(0.21)","(0.53)","(0.65)"
"Years since Sign.","0.14 ","0.38 **","0.10 ","0.03 ","0.14 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.40)"
"Years since Ratif.","0.17 **","0.16 ","0.14 *","1.01 ***","0.79 ***"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.27)"
"GDP pp","-0.16 ","0.25 ","-0.19 ","-0.03 ","0.08 "
"","(0.15)","(0.18)","(0.14)","(0.37)","(0.45)"
"Democracy","0.07 ","-0.05 ","0.11 ","-0.70 ","-0.23 "
"","(0.17)","(0.21)","(0.17)","(0.43)","(0.53)"
"% Female Smoke","-0.01 ","0.42 **","0.47 ***","0.38 ","0.92 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.50)"
"% Male Smoke","0.23 ","0.31 ","0.12 ","0.23 ","0.09 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.56)"
"Labor","-0.14 ","-0.06 ","-0.03 ","-0.68 ","-1.11 *"
"","(0.19)","(0.23)","(0.18)","(0.48)","(0.59)"
"Women's rights","-0.16 ","0.71 ","0.47 ","-0.79 ","2.41 *"
"","(0.44)","(0.53)","(0.43)","(1.10)","(1.35)"
"Population","0.12 ","0.32 **","-0.02 ","0.20 ","0.27 "
"","(0.12)","(0.14)","(0.11)","(0.29)","(0.35)"
"Eastern Mediterranean","0.37 ","-0.92 ","0.95 ","-3.00 *","1.01 "
"","(0.69)","(0.83)","(0.67)","(1.74)","(2.13)"
"European","0.31 ","-0.43 ","-0.33 ","-0.57 ","0.18 "
"","(0.46)","(0.57)","(0.43)","(1.13)","(1.47)"
"African","0.37 ","-0.58 ","-0.32 ","-1.77 ","1.38 "
"","(0.42)","(0.50)","(0.41)","(1.08)","(1.31)"
"Western Pacific","0.51 ","-0.64 ","-0.13 ","-2.47 *","1.03 "
"","(0.54)","(0.66)","(0.50)","(1.32)","(1.66)"
"South-East Asia","0.17 ","-0.71 ","-0.30 ","-3.45 **","-2.38 "
"","(0.70)","(0.89)","(0.64)","(1.68)","(2.22)"
"(Intercept)","2.00 ","-1.82 ","1.34 ","5.64 *","1.12 "
"","(1.31)","(1.56)","(1.27)","(3.28)","(3.98)"
"Bloomberg FCTC Count","-0.15 ","-0.03 ","0.44 ","0.48 ","1.46 "
"","(0.31)","(0.37)","(0.30)","(0.76)","(0.94)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.06","0.05"
"Centroid Distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.24 ","0.81 ","2.75 ***","1.64 **","0.64 "
"","(0.50)","(0.57)","(0.85)","(0.65)","(0.63)"
"Gov. Ownership","-0.04 ","0.10 ","0.26 ","0.20 ","0.41 "
"","(0.43)","(0.51)","(0.40)","(1.05)","(1.31)"
"Tobacco Prod. PP","0.15 ","-0.30 ","-0.52 ***","0.05 ","0.36 "
"","(0.22)","(0.26)","(0.20)","(0.53)","(0.67)"
"Years since Sign.","0.14 ","0.38 **","0.11 ","0.09 ","0.21 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.42)"
"Years since Ratif.","0.17 *","0.13 ","0.12 ","0.94 ***","0.72 ***"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.17 ","0.24 ","-0.24 *","-0.13 ","0.14 "
"","(0.15)","(0.18)","(0.14)","(0.38)","(0.47)"
"Democracy","0.08 ","-0.00 ","0.15 ","-0.58 ","-0.07 "
"","(0.17)","(0.21)","(0.16)","(0.43)","(0.54)"
"% Female Smoke","-0.02 ","0.37 *","0.41 ***","0.24 ","0.82 "
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.52)"
"% Male Smoke","0.23 ","0.30 ","0.12 ","0.27 ","0.10 "
"","(0.18)","(0.22)","(0.17)","(0.46)","(0.57)"
"Labor","-0.13 ","-0.06 ","0.01 ","-0.69 ","-1.02 *"
"","(0.19)","(0.23)","(0.18)","(0.48)","(0.60)"
"Women's rights","-0.15 ","0.74 ","0.53 ","-0.71 ","2.49 *"
"","(0.44)","(0.53)","(0.41)","(1.10)","(1.39)"
"Population","0.12 ","0.30 **","0.01 ","0.17 ","0.19 "
"","(0.12)","(0.14)","(0.11)","(0.29)","(0.36)"
"Eastern Mediterranean","0.30 ","-1.04 ","0.53 ","-3.56 **","1.08 "
"","(0.71)","(0.84)","(0.65)","(1.73)","(2.32)"
"European","0.21 ","-0.63 ","-1.16 **","-1.41 ","0.69 "
"","(0.55)","(0.66)","(0.50)","(1.21)","(1.74)"
"African","0.30 ","-0.71 ","-0.57 ","-2.19 **","1.06 "
"","(0.42)","(0.51)","(0.39)","(1.06)","(1.39)"
"Western Pacific","0.44 ","-0.67 ","-0.84 ","-3.05 **","1.69 "
"","(0.61)","(0.69)","(0.54)","(1.37)","(1.78)"
"South-East Asia","0.16 ","-0.43 ","-1.02 ","-3.63 **","-0.37 "
"","(0.76)","(0.87)","(0.66)","(1.69)","(2.23)"
"(Intercept)","1.68 ","-2.72 ","-0.94 ","1.41 ","-0.76 "
"","(1.55)","(1.74)","(1.43)","(3.81)","(4.63)"
"Bloomberg FCTC Count","-0.19 ","-0.12 ","0.34 ","0.26 ","1.11 "
"","(0.31)","(0.37)","(0.29)","(0.76)","(0.96)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.09","0.06","0.04"
"Country Borders","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.01 ","0.11 ","0.05 ","0.19 *","0.22 *"
"","(0.08)","(0.10)","(0.12)","(0.11)","(0.12)"
"Gov. Ownership","-0.01 ","0.23 ","0.45 ","0.54 ","0.58 "
"","(0.42)","(0.50)","(0.41)","(1.05)","(1.29)"
"Tobacco Prod. PP","0.16 ","-0.28 ","-0.47 **","0.07 ","0.35 "
"","(0.22)","(0.26)","(0.21)","(0.54)","(0.66)"
"Years since Sign.","0.14 ","0.36 **","0.10 ","0.01 ","0.07 "
"","(0.13)","(0.16)","(0.12)","(0.34)","(0.41)"
"Years since Ratif.","0.17 *","0.14 ","0.14 *","0.97 ***","0.73 ***"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.16 ","0.28 ","-0.19 ","0.03 ","0.20 "
"","(0.15)","(0.18)","(0.14)","(0.37)","(0.46)"
"Democracy","0.08 ","-0.01 ","0.12 ","-0.61 ","-0.07 "
"","(0.17)","(0.21)","(0.17)","(0.44)","(0.54)"
"% Female Smoke","-0.01 ","0.42 **","0.48 ***","0.37 ","0.90 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.51)"
"% Male Smoke","0.23 ","0.30 ","0.11 ","0.21 ","0.06 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.57)"
"Labor","-0.14 ","-0.07 ","-0.03 ","-0.72 ","-1.16 *"
"","(0.19)","(0.23)","(0.19)","(0.49)","(0.60)"
"Women's rights","-0.15 ","0.71 ","0.45 ","-0.82 ","2.46 *"
"","(0.45)","(0.54)","(0.43)","(1.12)","(1.37)"
"Population","0.12 ","0.29 **","-0.03 ","0.11 ","0.16 "
"","(0.12)","(0.14)","(0.11)","(0.29)","(0.36)"
"Eastern Mediterranean","0.37 ","-0.90 ","0.90 ","-3.08 *","1.58 "
"","(0.70)","(0.84)","(0.68)","(1.75)","(2.15)"
"European","0.36 ","-0.24 ","-0.30 ","-0.43 ","1.04 "
"","(0.45)","(0.56)","(0.43)","(1.13)","(1.44)"
"African","0.34 ","-0.56 ","-0.36 ","-1.84 *","1.51 "
"","(0.43)","(0.50)","(0.42)","(1.09)","(1.34)"
"Western Pacific","0.59 ","-0.31 ","-0.07 ","-1.81 ","2.30 "
"","(0.52)","(0.63)","(0.51)","(1.32)","(1.62)"
"South-East Asia","0.31 ","-0.32 ","-0.23 ","-3.15 *","-1.10 "
"","(0.69)","(0.87)","(0.63)","(1.68)","(2.21)"
"(Intercept)","2.09 ","-1.48 ","1.52 ","6.56 **","2.39 "
"","(1.31)","(1.57)","(1.26)","(3.29)","(4.08)"
"Bloomberg FCTC Count","-0.17 ","-0.04 ","0.44 ","0.52 ","1.45 "
"","(0.31)","(0.38)","(0.30)","(0.78)","(0.96)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.05","0.05"
"GlobalLink Posts","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.04 ","0.13 ","0.22 ","0.25 **","0.02 "
"","(0.07)","(0.08)","(0.14)","(0.10)","(0.12)"
"Gov. Ownership","-0.02 ","0.26 ","0.46 ","0.68 ","0.55 "
"","(0.42)","(0.50)","(0.40)","(1.03)","(1.30)"
"Tobacco Prod. PP","0.15 ","-0.32 ","-0.51 **","-0.06 ","0.39 "
"","(0.22)","(0.26)","(0.21)","(0.53)","(0.67)"
"Years since Sign.","0.14 ","0.39 **","0.11 ","0.12 ","0.17 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.41)"
"Years since Ratif.","0.16 *","0.12 ","0.12 ","0.89 ***","0.72 **"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.16 ","0.26 ","-0.21 ","-0.07 ","0.23 "
"","(0.15)","(0.18)","(0.14)","(0.37)","(0.47)"
"Democracy","0.06 ","-0.08 ","0.06 ","-0.87 **","-0.12 "
"","(0.18)","(0.21)","(0.17)","(0.44)","(0.56)"
"% Female Smoke","-0.01 ","0.42 **","0.48 ***","0.33 ","0.91 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.52)"
"% Male Smoke","0.24 ","0.34 ","0.14 ","0.39 ","0.11 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.58)"
"Labor","-0.13 ","-0.02 ","-0.01 ","-0.52 ","-1.03 *"
"","(0.19)","(0.23)","(0.18)","(0.48)","(0.61)"
"Women's rights","-0.17 ","0.66 ","0.38 ","-1.10 ","2.63 *"
"","(0.45)","(0.54)","(0.43)","(1.11)","(1.40)"
"Population","0.11 ","0.28 **","-0.04 ","0.09 ","0.16 "
"","(0.12)","(0.14)","(0.11)","(0.29)","(0.36)"
"Eastern Mediterranean","0.33 ","-0.95 ","0.83 ","-3.49 **","1.87 "
"","(0.70)","(0.83)","(0.66)","(1.73)","(2.18)"
"European","0.35 ","-0.14 ","-0.29 ","-0.33 ","1.70 "
"","(0.45)","(0.54)","(0.43)","(1.11)","(1.43)"
"African","0.34 ","-0.57 ","-0.33 ","-1.99 *","1.38 "
"","(0.42)","(0.50)","(0.40)","(1.06)","(1.35)"
"Western Pacific","0.59 ","-0.28 ","-0.04 ","-1.91 ","2.37 "
"","(0.52)","(0.63)","(0.50)","(1.30)","(1.65)"
"South-East Asia","0.32 ","0.01 ","-0.20 ","-2.64 ","0.52 "
"","(0.66)","(0.79)","(0.62)","(1.61)","(2.05)"
"(Intercept)","2.08 ","-1.77 ","1.47 ","5.80 *","1.42 "
"","(1.30)","(1.57)","(1.25)","(3.25)","(4.10)"
"Bloomberg FCTC Count","-0.19 ","-0.18 ","0.36 ","0.08 ","1.14 "
"","(0.31)","(0.37)","(0.30)","(0.76)","(0.96)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.08","0.06","0.04"
"GlobalLink Referrals","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","-0.09 ","0.13 *","0.09 ","0.09 ","0.02 "
"","(0.06)","(0.07)","(0.10)","(0.08)","(0.08)"
"Gov. Ownership","0.12 ","0.08 ","0.43 ","0.45 ","0.52 "
"","(0.42)","(0.51)","(0.41)","(1.07)","(1.31)"
"Tobacco Prod. PP","0.19 ","-0.31 ","-0.47 **","0.07 ","0.40 "
"","(0.21)","(0.26)","(0.21)","(0.54)","(0.67)"
"Years since Sign.","0.15 ","0.34 **","0.10 ","0.04 ","0.16 "
"","(0.13)","(0.15)","(0.12)","(0.34)","(0.42)"
"Years since Ratif.","0.18 **","0.13 ","0.14 *","0.94 ***","0.72 **"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.15 ","0.28 ","-0.18 ","0.06 ","0.23 "
"","(0.15)","(0.18)","(0.14)","(0.38)","(0.47)"
"Democracy","0.08 ","-0.03 ","0.14 ","-0.67 ","-0.10 "
"","(0.17)","(0.20)","(0.17)","(0.44)","(0.54)"
"% Female Smoke","-0.01 ","0.42 **","0.50 ***","0.35 ","0.90 *"
"","(0.16)","(0.20)","(0.16)","(0.42)","(0.52)"
"% Male Smoke","0.23 ","0.31 ","0.11 ","0.29 ","0.10 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.57)"
"Labor","-0.14 ","-0.06 ","-0.04 ","-0.67 ","-1.03 *"
"","(0.19)","(0.23)","(0.18)","(0.49)","(0.60)"
"Women's rights","-0.10 ","0.66 ","0.46 ","-0.81 ","2.64 *"
"","(0.44)","(0.53)","(0.43)","(1.12)","(1.39)"
"Population","0.14 ","0.27 *","-0.04 ","0.09 ","0.16 "
"","(0.12)","(0.14)","(0.11)","(0.29)","(0.36)"
"Eastern Mediterranean","0.50 ","-1.04 ","0.86 ","-3.53 **","1.85 "
"","(0.69)","(0.83)","(0.67)","(1.77)","(2.19)"
"European","0.53 ","-0.33 ","-0.43 ","-0.54 ","1.69 "
"","(0.45)","(0.55)","(0.46)","(1.17)","(1.42)"
"African","0.38 ","-0.71 ","-0.37 ","-2.26 **","1.35 "
"","(0.42)","(0.50)","(0.40)","(1.08)","(1.36)"
"Western Pacific","0.69 ","-0.52 ","-0.13 ","-2.26 *","2.37 "
"","(0.52)","(0.64)","(0.50)","(1.34)","(1.65)"
"South-East Asia","0.44 ","-0.09 ","-0.21 ","-2.60 ","0.54 "
"","(0.65)","(0.79)","(0.63)","(1.65)","(2.04)"
"(Intercept)","2.00 ","-1.31 ","1.49 ","6.58 **","1.46 "
"","(1.29)","(1.56)","(1.25)","(3.32)","(4.10)"
"Bloomberg FCTC Count","-0.20 ","-0.09 ","0.45 ","0.35 ","1.16 "
"","(0.31)","(0.37)","(0.30)","(0.77)","(0.96)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.05","0.04"
"FCTC COP co-participation","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","-0.00 ","-0.00 ","0.35 ","0.41 **","0.45 **"
"","(0.13)","(0.17)","(0.29)","(0.20)","(0.21)"
"Gov. Ownership","-0.01 ","0.26 ","0.49 ","0.74 ","0.78 "
"","(0.42)","(0.51)","(0.40)","(1.05)","(1.29)"
"Tobacco Prod. PP","0.16 ","-0.27 ","-0.47 **","0.07 ","0.31 "
"","(0.21)","(0.26)","(0.21)","(0.53)","(0.66)"
"Years since Sign.","0.14 ","0.38 **","0.10 ","0.03 ","0.05 "
"","(0.13)","(0.16)","(0.12)","(0.34)","(0.42)"
"Years since Ratif.","0.17 *","0.14 ","0.13 ","0.89 ***","0.68 **"
"","(0.09)","(0.11)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.16 ","0.29 ","-0.13 ","0.35 ","0.61 "
"","(0.16)","(0.19)","(0.15)","(0.40)","(0.49)"
"Democracy","0.08 ","-0.02 ","0.15 ","-0.55 ","0.05 "
"","(0.17)","(0.21)","(0.17)","(0.44)","(0.54)"
"% Female Smoke","-0.01 ","0.42 **","0.45 ***","0.30 ","0.87 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.51)"
"% Male Smoke","0.23 ","0.31 ","0.12 ","0.21 ","-0.01 "
"","(0.18)","(0.22)","(0.17)","(0.46)","(0.57)"
"Labor","-0.14 ","-0.06 ","0.02 ","-0.48 ","-0.84 "
"","(0.20)","(0.24)","(0.19)","(0.49)","(0.60)"
"Women's rights","-0.15 ","0.76 ","0.48 ","-0.50 ","3.05 **"
"","(0.45)","(0.54)","(0.43)","(1.12)","(1.38)"
"Population","0.12 ","0.29 **","-0.02 ","0.22 ","0.30 "
"","(0.12)","(0.14)","(0.11)","(0.29)","(0.36)"
"Eastern Mediterranean","0.36 ","-0.88 ","0.86 ","-3.43 **","1.70 "
"","(0.70)","(0.84)","(0.66)","(1.75)","(2.15)"
"European","0.37 ","-0.08 ","-0.42 ","-0.64 ","1.21 "
"","(0.46)","(0.55)","(0.44)","(1.14)","(1.41)"
"African","0.33 ","-0.59 ","-0.45 ","-2.41 **","1.04 "
"","(0.42)","(0.51)","(0.40)","(1.08)","(1.34)"
"Western Pacific","0.59 ","-0.26 ","-0.20 ","-2.26 *","2.01 "
"","(0.53)","(0.64)","(0.51)","(1.32)","(1.63)"
"South-East Asia","0.34 ","0.10 ","-0.22 ","-2.52 ","0.46 "
"","(0.65)","(0.79)","(0.63)","(1.63)","(2.01)"
"(Intercept)","2.10 ","-1.63 ","0.85 ","3.58 ","-1.95 "
"","(1.41)","(1.69)","(1.37)","(3.57)","(4.35)"
"Bloomberg FCTC Count","-0.17 ","-0.12 ","0.47 ","0.57 ","1.48 "
"","(0.31)","(0.38)","(0.30)","(0.78)","(0.96)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.06","0.05"
"FCTC INB co-participation","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","-0.20 *","0.28 *","0.01 ","0.65 ***","0.37 **"
"","(0.11)","(0.14)","(0.27)","(0.18)","(0.17)"
"Gov. Ownership","0.02 ","0.21 ","0.48 ","0.41 ","0.45 "
"","(0.41)","(0.50)","(0.40)","(1.02)","(1.28)"
"Tobacco Prod. PP","0.15 ","-0.26 ","-0.47 **","0.14 ","0.45 "
"","(0.21)","(0.26)","(0.21)","(0.52)","(0.66)"
"Years since Sign.","0.15 ","0.37 **","0.10 ","0.08 ","0.17 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.41)"
"Years since Ratif.","0.22 **","0.07 ","0.14 ","0.70 ***","0.54 *"
"","(0.09)","(0.11)","(0.09)","(0.23)","(0.29)"
"GDP pp","-0.22 ","0.37 **","-0.19 ","0.34 ","0.47 "
"","(0.15)","(0.18)","(0.15)","(0.37)","(0.47)"
"Democracy","-0.02 ","0.10 ","0.12 ","-0.23 ","0.24 "
"","(0.18)","(0.21)","(0.17)","(0.44)","(0.55)"
"% Female Smoke","-0.04 ","0.45 **","0.48 ***","0.42 ","0.98 *"
"","(0.16)","(0.20)","(0.16)","(0.40)","(0.51)"
"% Male Smoke","0.20 ","0.35 ","0.12 ","0.48 ","0.25 "
"","(0.18)","(0.22)","(0.18)","(0.45)","(0.57)"
"Labor","-0.15 ","-0.05 ","-0.03 ","-0.55 ","-1.00 *"
"","(0.19)","(0.23)","(0.19)","(0.47)","(0.59)"
"Women's rights","-0.07 ","0.63 ","0.46 ","-1.42 ","2.28 *"
"","(0.44)","(0.54)","(0.44)","(1.10)","(1.37)"
"Population","0.08 ","0.33 **","-0.04 ","0.27 ","0.28 "
"","(0.12)","(0.14)","(0.11)","(0.28)","(0.36)"
"Eastern Mediterranean","0.29 ","-0.82 ","0.86 ","-3.07 *","2.09 "
"","(0.69)","(0.83)","(0.67)","(1.70)","(2.14)"
"European","0.61 ","-0.38 ","-0.30 ","-1.45 ","0.86 "
"","(0.46)","(0.56)","(0.45)","(1.14)","(1.44)"
"African","0.50 ","-0.75 ","-0.40 ","-3.02 ***","0.77 "
"","(0.42)","(0.51)","(0.42)","(1.07)","(1.36)"
"Western Pacific","0.71 ","-0.39 ","-0.10 ","-2.66 **","1.91 "
"","(0.52)","(0.63)","(0.51)","(1.29)","(1.63)"
"South-East Asia","0.36 ","0.03 ","-0.20 ","-2.81 *","0.38 "
"","(0.65)","(0.78)","(0.63)","(1.59)","(2.01)"
"(Intercept)","2.74 **","-2.41 ","1.52 ","2.91 ","-1.05 "
"","(1.33)","(1.61)","(1.30)","(3.35)","(4.20)"
"Bloomberg FCTC Count","-0.24 ","-0.02 ","0.43 ","0.61 ","1.35 "
"","(0.31)","(0.37)","(0.30)","(0.75)","(0.95)"
"N","143","143","143","143","143"
"Pseudo R2","0.05","0.10","0.07","0.07","0.05"
"Interest Group co-membership","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","-0.02 ","0.12 ","-0.00 ","0.14 ","0.18 "
"","(0.06)","(0.08)","(0.16)","(0.10)","(0.12)"
"Gov. Ownership","0.01 ","0.12 ","0.48 ","0.40 ","0.20 "
"","(0.42)","(0.51)","(0.41)","(1.07)","(1.31)"
"Tobacco Prod. PP","0.17 ","-0.29 ","-0.47 **","0.07 ","0.33 "
"","(0.22)","(0.26)","(0.21)","(0.54)","(0.67)"
"Years since Sign.","0.14 ","0.38 **","0.10 ","0.08 ","0.15 "
"","(0.13)","(0.15)","(0.12)","(0.34)","(0.41)"
"Years since Ratif.","0.17 **","0.11 ","0.14 ","0.88 ***","0.64 **"
"","(0.09)","(0.11)","(0.09)","(0.23)","(0.28)"
"GDP pp","-0.16 ","0.33 *","-0.19 ","0.11 ","0.28 "
"","(0.15)","(0.18)","(0.14)","(0.38)","(0.46)"
"Democracy","0.07 ","0.04 ","0.11 ","-0.56 ","-0.00 "
"","(0.18)","(0.21)","(0.17)","(0.44)","(0.54)"
"% Female Smoke","-0.01 ","0.41 **","0.48 ***","0.31 ","0.88 *"
"","(0.17)","(0.20)","(0.16)","(0.42)","(0.51)"
"% Male Smoke","0.23 ","0.33 ","0.11 ","0.30 ","0.17 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.57)"
"Labor","-0.14 ","-0.01 ","-0.03 ","-0.57 ","-0.91 "
