"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"","(0.17)","(0.20)","(0.16)","(0.43)","(0.54)"
"% Female Smoke","-0.01 ","0.42 **","0.46 ***","0.37 ","0.93 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.52)"
"% Male Smoke","0.22 ","0.28 ","0.12 ","0.24 ","0.06 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.58)"
"Labor","-0.14 ","-0.08 ","-0.02 ","-0.66 ","-1.07 *"
"","(0.19)","(0.23)","(0.18)","(0.48)","(0.61)"
"Women's rights","-0.13 ","0.60 ","0.31 ","-1.09 ","2.41 *"
"","(0.45)","(0.53)","(0.43)","(1.11)","(1.40)"
"Population","0.10 ","0.23 ","-0.04 ","0.02 ","0.13 "
"","(0.12)","(0.14)","(0.12)","(0.30)","(0.38)"
"Eastern Mediterranean","0.37 ","-0.74 ","0.97 ","-2.99 *","1.98 "
"","(0.70)","(0.82)","(0.67)","(1.74)","(2.18)"
"European","0.35 ","-0.17 ","-0.32 ","-0.40 ","1.71 "
"","(0.45)","(0.53)","(0.43)","(1.12)","(1.42)"
"African","0.34 ","-0.54 ","-0.39 ","-2.07 *","1.37 "
"","(0.42)","(0.50)","(0.40)","(1.07)","(1.36)"
"Western Pacific","0.51 ","-0.26 ","0.10 ","-1.71 ","3.02 *"
"","(0.51)","(0.60)","(0.48)","(1.26)","(1.60)"
"South-East Asia","0.30 ","0.16 ","-0.04 ","-2.16 ","0.98 "
"","(0.65)","(0.77)","(0.62)","(1.61)","(2.03)"
"(Intercept)","2.12 ","-1.42 ","1.27 ","6.42 **","1.70 "
"","(1.31)","(1.54)","(1.26)","(3.27)","(4.13)"
"Bloomberg FCTC Amount","-0.01 ","0.09 ","0.13 ","0.19 ","0.53 "
"","(0.24)","(0.28)","(0.23)","(0.59)","(0.75)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.11","0.07","0.06","0.04"
"Minimal distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.08 ","0.27 **","0.16 ","0.34 **","0.47 ***"
"","(0.10)","(0.13)","(0.15)","(0.14)","(0.17)"
"Gov. Ownership","0.04 ","0.29 ","0.37 ","0.71 ","0.72 "
"","(0.42)","(0.49)","(0.40)","(1.03)","(1.26)"
"Tobacco Prod. PP","0.16 ","-0.28 ","-0.49 **","0.08 ","0.26 "
"","(0.21)","(0.25)","(0.21)","(0.53)","(0.66)"
"Years since Sign.","0.14 ","0.37 **","0.10 ","0.02 ","0.13 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.40)"
"Years since Ratif.","0.17 *","0.16 ","0.15 *","1.01 ***","0.81 ***"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.27)"
"GDP pp","-0.15 ","0.26 ","-0.22 ","-0.04 ","0.00 "
"","(0.15)","(0.18)","(0.14)","(0.37)","(0.45)"
"Democracy","0.06 ","-0.05 ","0.13 ","-0.67 ","-0.14 "
"","(0.17)","(0.20)","(0.17)","(0.43)","(0.53)"
"% Female Smoke","-0.00 ","0.44 **","0.47 ***","0.40 ","0.93 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.51)"
"% Male Smoke","0.22 ","0.28 ","0.13 ","0.20 ","0.08 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.56)"
"Labor","-0.14 ","-0.08 ","-0.03 ","-0.70 ","-1.15 *"
"","(0.19)","(0.23)","(0.19)","(0.48)","(0.59)"
"Women's rights","-0.13 ","0.74 ","0.42 ","-0.80 ","2.30 *"
"","(0.44)","(0.53)","(0.43)","(1.10)","(1.35)"
"Population","0.11 ","0.27 *","-0.02 ","0.14 ","0.24 "
"","(0.12)","(0.14)","(0.12)","(0.30)","(0.37)"
"Eastern Mediterranean","0.37 ","-0.91 ","0.96 ","-2.95 *","1.08 "
"","(0.69)","(0.83)","(0.68)","(1.74)","(2.14)"
"European","0.29 ","-0.47 ","-0.30 ","-0.56 ","0.29 "
"","(0.45)","(0.56)","(0.43)","(1.12)","(1.47)"
"African","0.39 ","-0.54 ","-0.32 ","-1.72 ","1.42 "
"","(0.43)","(0.50)","(0.41)","(1.08)","(1.32)"
"Western Pacific","0.43 ","-0.73 ","0.05 ","-2.35 *","1.56 "
"","(0.52)","(0.63)","(0.49)","(1.27)","(1.60)"
"South-East Asia","0.11 ","-0.79 ","-0.19 ","-3.36 **","-2.02 "
"","(0.69)","(0.88)","(0.63)","(1.66)","(2.21)"
"(Intercept)","2.03 ","-1.72 ","1.33 ","5.76 *","1.22 "
"","(1.31)","(1.55)","(1.27)","(3.28)","(4.00)"
"Bloomberg FCTC Amount","0.02 ","0.25 ","0.18 ","0.51 ","0.88 "
"","(0.24)","(0.29)","(0.23)","(0.60)","(0.73)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.06","0.05"
"Centroid Distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.22 ","0.82 ","2.82 ***","1.64 **","0.66 "
"","(0.50)","(0.57)","(0.85)","(0.65)","(0.63)"
"Gov. Ownership","-0.01 ","0.15 ","0.20 ","0.20 ","0.27 "
"","(0.42)","(0.51)","(0.39)","(1.04)","(1.30)"
"Tobacco Prod. PP","0.16 ","-0.29 ","-0.54 ***","0.05 ","0.33 "
"","(0.22)","(0.26)","(0.20)","(0.53)","(0.67)"
"Years since Sign.","0.14 ","0.38 **","0.11 ","0.08 ","0.21 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.42)"
"Years since Ratif.","0.16 *","0.13 ","0.13 ","0.94 ***","0.74 ***"
"","(0.09)","(0.10)","(0.08)","(0.22)","(0.28)"
"GDP pp","-0.16 ","0.26 ","-0.26 *","-0.14 ","0.08 "
"","(0.15)","(0.18)","(0.14)","(0.37)","(0.47)"
"Democracy","0.07 ","-0.00 ","0.17 ","-0.56 ","-0.01 "
"","(0.17)","(0.21)","(0.16)","(0.43)","(0.54)"
"% Female Smoke","-0.02 ","0.39 *","0.40 **","0.25 ","0.82 "
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.53)"
"% Male Smoke","0.22 ","0.28 ","0.13 ","0.25 ","0.11 "
"","(0.18)","(0.22)","(0.17)","(0.46)","(0.58)"
"Labor","-0.13 ","-0.07 ","0.01 ","-0.71 ","-1.04 *"
"","(0.19)","(0.23)","(0.18)","(0.48)","(0.61)"
"Women's rights","-0.13 ","0.78 ","0.50 ","-0.71 ","2.38 *"
"","(0.44)","(0.53)","(0.41)","(1.10)","(1.39)"
"Population","0.11 ","0.26 *","0.01 ","0.14 ","0.18 "
"","(0.12)","(0.15)","(0.11)","(0.30)","(0.38)"
"Eastern Mediterranean","0.31 ","-1.03 ","0.53 ","-3.53 **","1.11 "
"","(0.71)","(0.84)","(0.66)","(1.73)","(2.32)"
"European","0.21 ","-0.66 ","-1.16 **","-1.40 ","0.76 "
"","(0.55)","(0.66)","(0.50)","(1.20)","(1.74)"
"African","0.32 ","-0.68 ","-0.58 ","-2.16 **","1.06 "
"","(0.42)","(0.51)","(0.40)","(1.06)","(1.39)"
"Western Pacific","0.37 ","-0.76 ","-0.72 ","-2.98 **","2.11 "
"","(0.60)","(0.67)","(0.53)","(1.33)","(1.73)"
"South-East Asia","0.13 ","-0.48 ","-0.95 ","-3.57 **","-0.11 "
"","(0.75)","(0.86)","(0.66)","(1.67)","(2.23)"
"(Intercept)","1.75 ","-2.64 ","-1.02 ","1.50 ","-0.79 "
"","(1.55)","(1.74)","(1.44)","(3.81)","(4.65)"
"Bloomberg FCTC Amount","-0.01 ","0.16 ","0.12 ","0.30 ","0.55 "
"","(0.24)","(0.29)","(0.22)","(0.59)","(0.74)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.09","0.06","0.04"
"Country Borders","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.02 ","0.13 ","0.04 ","0.20 *","0.22 *"
"","(0.08)","(0.10)","(0.12)","(0.11)","(0.12)"
"Gov. Ownership","0.02 ","0.27 ","0.39 ","0.52 ","0.43 "
"","(0.42)","(0.50)","(0.41)","(1.04)","(1.28)"
"Tobacco Prod. PP","0.17 ","-0.28 ","-0.48 **","0.07 ","0.32 "
"","(0.22)","(0.26)","(0.21)","(0.53)","(0.67)"
"Years since Sign.","0.14 ","0.35 **","0.10 ","-0.00 ","0.07 "
"","(0.13)","(0.16)","(0.13)","(0.34)","(0.42)"
"Years since Ratif.","0.16 *","0.14 ","0.15 *","0.98 ***","0.76 ***"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.14 ","0.30 *","-0.22 ","0.02 ","0.12 "
"","(0.15)","(0.18)","(0.14)","(0.37)","(0.46)"
"Democracy","0.07 ","-0.01 ","0.14 ","-0.58 ","0.01 "
"","(0.17)","(0.21)","(0.17)","(0.43)","(0.54)"
"% Female Smoke","-0.01 ","0.44 **","0.47 ***","0.39 ","0.91 *"
"","(0.17)","(0.20)","(0.16)","(0.42)","(0.51)"
"% Male Smoke","0.22 ","0.27 ","0.12 ","0.18 ","0.05 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.57)"
"Labor","-0.14 ","-0.09 ","-0.04 ","-0.75 ","-1.19 **"
"","(0.19)","(0.23)","(0.19)","(0.49)","(0.60)"
"Women's rights","-0.13 ","0.73 ","0.41 ","-0.84 ","2.35 *"
"","(0.45)","(0.54)","(0.43)","(1.11)","(1.38)"
"Population","0.10 ","0.24 *","-0.03 ","0.06 ","0.13 "
"","(0.12)","(0.15)","(0.12)","(0.30)","(0.38)"
"Eastern Mediterranean","0.37 ","-0.88 ","0.91 ","-3.02 *","1.65 "
"","(0.70)","(0.83)","(0.68)","(1.75)","(2.16)"
"European","0.34 ","-0.29 ","-0.26 ","-0.41 ","1.16 "
"","(0.45)","(0.55)","(0.43)","(1.13)","(1.45)"
"African","0.36 ","-0.52 ","-0.37 ","-1.79 ","1.55 "
"","(0.43)","(0.51)","(0.42)","(1.09)","(1.34)"
"Western Pacific","0.52 ","-0.37 ","0.10 ","-1.66 ","2.84 *"
"","(0.51)","(0.61)","(0.50)","(1.28)","(1.57)"
"South-East Asia","0.25 ","-0.41 ","-0.11 ","-3.06 *","-0.71 "
"","(0.68)","(0.85)","(0.63)","(1.66)","(2.19)"
"(Intercept)","2.13 ","-1.34 ","1.51 ","6.70 **","2.47 "
"","(1.31)","(1.57)","(1.27)","(3.29)","(4.11)"
"Bloomberg FCTC Amount","0.01 ","0.24 ","0.17 ","0.54 ","0.85 "
"","(0.24)","(0.29)","(0.24)","(0.61)","(0.75)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.05","0.05"
"GlobalLink Posts","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.03 ","0.12 ","0.24 *","0.25 **","0.02 "
"","(0.07)","(0.08)","(0.14)","(0.10)","(0.12)"
"Gov. Ownership","0.02 ","0.31 ","0.40 ","0.69 ","0.41 "
"","(0.42)","(0.50)","(0.40)","(1.03)","(1.30)"
"Tobacco Prod. PP","0.16 ","-0.30 ","-0.52 **","-0.06 ","0.36 "
"","(0.22)","(0.26)","(0.21)","(0.53)","(0.68)"
"Years since Sign.","0.14 ","0.39 **","0.11 ","0.12 ","0.17 "
"","(0.13)","(0.15)","(0.12)","(0.33)","(0.42)"
"Years since Ratif.","0.16 *","0.12 ","0.13 ","0.89 ***","0.74 ***"
"","(0.09)","(0.10)","(0.08)","(0.22)","(0.28)"
"GDP pp","-0.15 ","0.28 ","-0.24 *","-0.06 ","0.16 "
"","(0.15)","(0.18)","(0.14)","(0.37)","(0.46)"
"Democracy","0.05 ","-0.08 ","0.08 ","-0.87 **","-0.06 "
"","(0.18)","(0.21)","(0.17)","(0.44)","(0.56)"
"% Female Smoke","-0.01 ","0.44 **","0.48 ***","0.35 ","0.91 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.52)"
"% Male Smoke","0.23 ","0.32 ","0.15 ","0.37 ","0.12 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.58)"
"Labor","-0.13 ","-0.03 ","-0.01 ","-0.53 ","-1.05 *"
"","(0.19)","(0.23)","(0.18)","(0.48)","(0.61)"
"Women's rights","-0.14 ","0.71 ","0.34 ","-1.08 ","2.53 *"
"","(0.45)","(0.54)","(0.43)","(1.10)","(1.40)"
"Population","0.10 ","0.25 *","-0.03 ","0.06 ","0.16 "
"","(0.12)","(0.15)","(0.12)","(0.30)","(0.38)"
"Eastern Mediterranean","0.33 ","-0.94 ","0.84 ","-3.48 **","1.92 "
"","(0.70)","(0.84)","(0.67)","(1.72)","(2.19)"
"European","0.34 ","-0.16 ","-0.26 ","-0.33 ","1.79 "
"","(0.45)","(0.54)","(0.43)","(1.11)","(1.43)"
"African","0.35 ","-0.54 ","-0.33 ","-1.97 *","1.40 "
"","(0.42)","(0.50)","(0.41)","(1.06)","(1.36)"
"Western Pacific","0.51 ","-0.38 ","0.11 ","-1.91 ","2.82 *"
"","(0.51)","(0.61)","(0.48)","(1.25)","(1.60)"
"South-East Asia","0.27 ","-0.04 ","-0.11 ","-2.63 ","0.82 "
"","(0.65)","(0.78)","(0.62)","(1.60)","(2.05)"
"(Intercept)","2.12 ","-1.68 ","1.45 ","5.88 *","1.44 "
"","(1.31)","(1.57)","(1.25)","(3.26)","(4.12)"
"Bloomberg FCTC Amount","-0.01 ","0.11 ","0.12 ","0.19 ","0.56 "
"","(0.24)","(0.29)","(0.23)","(0.59)","(0.75)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.06","0.04"
"GlobalLink Referrals","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","-0.09 ","0.13 *","0.08 ","0.09 ","0.01 "
"","(0.06)","(0.07)","(0.11)","(0.08)","(0.08)"
"Gov. Ownership","0.16 ","0.12 ","0.37 ","0.44 ","0.39 "
"","(0.42)","(0.51)","(0.41)","(1.06)","(1.31)"
"Tobacco Prod. PP","0.19 ","-0.30 ","-0.48 **","0.07 ","0.37 "
"","(0.21)","(0.26)","(0.21)","(0.54)","(0.67)"
"Years since Sign.","0.15 ","0.34 **","0.10 ","0.03 ","0.16 "
"","(0.13)","(0.15)","(0.12)","(0.34)","(0.42)"
"Years since Ratif.","0.18 **","0.12 ","0.15 *","0.95 ***","0.74 ***"
"","(0.09)","(0.10)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.13 ","0.29 *","-0.21 ","0.05 ","0.16 "
"","(0.15)","(0.17)","(0.14)","(0.37)","(0.46)"
"Democracy","0.07 ","-0.03 ","0.16 ","-0.64 ","-0.04 "
"","(0.17)","(0.20)","(0.17)","(0.44)","(0.54)"
"% Female Smoke","-0.00 ","0.44 **","0.49 ***","0.36 ","0.91 *"
"","(0.16)","(0.20)","(0.16)","(0.42)","(0.52)"
"% Male Smoke","0.22 ","0.28 ","0.12 ","0.27 ","0.11 "
"","(0.18)","(0.22)","(0.18)","(0.47)","(0.58)"
"Labor","-0.14 ","-0.07 ","-0.04 ","-0.68 ","-1.06 *"
"","(0.19)","(0.23)","(0.19)","(0.49)","(0.61)"
"Women's rights","-0.07 ","0.70 ","0.41 ","-0.82 ","2.54 *"
"","(0.44)","(0.53)","(0.43)","(1.12)","(1.39)"
"Population","0.12 ","0.23 ","-0.03 ","0.06 ","0.15 "
"","(0.12)","(0.14)","(0.12)","(0.31)","(0.38)"
"Eastern Mediterranean","0.50 ","-1.03 ","0.88 ","-3.49 **","1.92 "
"","(0.69)","(0.83)","(0.67)","(1.77)","(2.20)"
"European","0.50 ","-0.35 ","-0.39 ","-0.52 ","1.79 "
"","(0.45)","(0.55)","(0.46)","(1.16)","(1.43)"
"African","0.40 ","-0.68 ","-0.38 ","-2.23 **","1.38 "
"","(0.42)","(0.50)","(0.41)","(1.08)","(1.37)"
"Western Pacific","0.60 ","-0.60 ","0.05 ","-2.15 *","2.82 *"
"","(0.50)","(0.62)","(0.49)","(1.30)","(1.59)"
"South-East Asia","0.39 ","-0.13 ","-0.10 ","-2.51 ","0.84 "
"","(0.65)","(0.78)","(0.63)","(1.64)","(2.03)"
"(Intercept)","2.04 ","-1.22 ","1.48 ","6.66 **","1.48 "
"","(1.30)","(1.57)","(1.26)","(3.32)","(4.12)"
"Bloomberg FCTC Amount","0.00 ","0.15 ","0.17 ","0.34 ","0.58 "
"","(0.24)","(0.28)","(0.23)","(0.60)","(0.75)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.05","0.04"
"FCTC COP co-participation","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","0.01 ","0.02 ","0.33 ","0.41 **","0.44 **"
"","(0.13)","(0.17)","(0.29)","(0.20)","(0.21)"
"Gov. Ownership","0.03 ","0.30 ","0.42 ","0.70 ","0.60 "
"","(0.42)","(0.50)","(0.40)","(1.04)","(1.28)"
"Tobacco Prod. PP","0.17 ","-0.26 ","-0.48 **","0.06 ","0.28 "
"","(0.21)","(0.26)","(0.21)","(0.53)","(0.67)"
"Years since Sign.","0.14 ","0.37 **","0.10 ","0.02 ","0.05 "
"","(0.13)","(0.16)","(0.12)","(0.34)","(0.42)"
"Years since Ratif.","0.16 *","0.13 ","0.14 ","0.90 ***","0.70 **"
"","(0.09)","(0.11)","(0.08)","(0.23)","(0.28)"
"GDP pp","-0.14 ","0.32 *","-0.16 ","0.34 ","0.51 "
"","(0.16)","(0.19)","(0.15)","(0.39)","(0.48)"
"Democracy","0.07 ","-0.02 ","0.18 ","-0.51 ","0.13 "
"","(0.17)","(0.21)","(0.17)","(0.44)","(0.54)"
"% Female Smoke","-0.01 ","0.44 **","0.45 ***","0.32 ","0.88 *"
"","(0.17)","(0.20)","(0.16)","(0.41)","(0.51)"
"% Male Smoke","0.22 ","0.28 ","0.13 ","0.19 ","-0.01 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.57)"
"Labor","-0.14 ","-0.06 ","0.01 ","-0.51 ","-0.88 "
"","(0.20)","(0.24)","(0.19)","(0.49)","(0.60)"
"Women's rights","-0.12 ","0.80 ","0.44 ","-0.52 ","2.92 **"
"","(0.45)","(0.54)","(0.43)","(1.11)","(1.38)"
"Population","0.10 ","0.25 *","-0.01 ","0.18 ","0.27 "
"","(0.12)","(0.15)","(0.12)","(0.31)","(0.38)"
"Eastern Mediterranean","0.36 ","-0.87 ","0.88 ","-3.39 *","1.78 "
"","(0.70)","(0.84)","(0.67)","(1.74)","(2.16)"
"European","0.35 ","-0.11 ","-0.37 ","-0.61 ","1.34 "
"","(0.45)","(0.55)","(0.44)","(1.14)","(1.42)"
"African","0.34 ","-0.56 ","-0.45 ","-2.37 **","1.08 "
"","(0.42)","(0.51)","(0.41)","(1.08)","(1.35)"
"Western Pacific","0.51 ","-0.35 ","-0.01 ","-2.09 *","2.58 "
"","(0.51)","(0.61)","(0.49)","(1.27)","(1.57)"
"South-East Asia","0.29 ","0.06 ","-0.10 ","-2.39 ","0.84 "
"","(0.65)","(0.78)","(0.62)","(1.61)","(2.00)"
"(Intercept)","2.10 ","-1.62 ","0.89 ","3.69 ","-1.76 "
"","(1.41)","(1.69)","(1.38)","(3.57)","(4.37)"
"Bloomberg FCTC Amount","-0.00 ","0.16 ","0.19 ","0.52 ","0.81 "
"","(0.24)","(0.29)","(0.23)","(0.60)","(0.74)"
"N","143","143","143","143","143"
"Pseudo R2","0.04","0.10","0.07","0.06","0.05"
"FCTC INB co-participation","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","-0.20 *","0.30 **","-0.01 ","0.65 ***","0.37 **"
"","(0.11)","(0.14)","(0.27)","(0.18)","(0.17)"
"Gov. Ownership","0.05 ","0.25 ","0.42 ","0.37 ","0.30 "
"","(0.41)","(0.50)","(0.40)","(1.01)","(1.28)"
"Tobacco Prod. PP","0.16 ","-0.25 ","-0.48 **","0.14 ","0.42 "
"","(0.21)","(0.26)","(0.21)","(0.52)","(0.66)"
"Years since Sign.","0.14 ","0.37 **","0.11 ","0.07 ","0.16 "
"","(0.13)","(0.15)","(0.13)","(0.33)","(0.41)"
"Years since Ratif.","0.22 **","0.06 ","0.15 *","0.70 ***","0.56 *"
"","(0.09)","(0.11)","(0.09)","(0.23)","(0.29)"
"GDP pp","-0.20 ","0.39 **","-0.22 ","0.32 ","0.39 "
"","(0.15)","(0.18)","(0.15)","(0.37)","(0.46)"
"Democracy","-0.03 ","0.11 ","0.14 ","-0.19 ","0.31 "
"","(0.18)","(0.21)","(0.17)","(0.44)","(0.56)"
"% Female Smoke","-0.03 ","0.47 **","0.47 ***","0.44 ","0.99 *"
"","(0.17)","(0.20)","(0.16)","(0.40)","(0.51)"
"% Male Smoke","0.19 ","0.32 ","0.12 ","0.45 ","0.25 "
"","(0.18)","(0.22)","(0.18)","(0.45)","(0.57)"
"Labor","-0.15 ","-0.06 ","-0.03 ","-0.58 ","-1.02 *"
"","(0.19)","(0.23)","(0.19)","(0.47)","(0.60)"
"Women's rights","-0.04 ","0.66 ","0.42 ","-1.44 ","2.17 "
"","(0.44)","(0.54)","(0.44)","(1.10)","(1.37)"
"Population","0.08 ","0.29 **","-0.03 ","0.21 ","0.25 "
"","(0.12)","(0.15)","(0.12)","(0.30)","(0.38)"
"Eastern Mediterranean","0.29 ","-0.80 ","0.88 ","-3.02 *","2.15 "
"","(0.69)","(0.83)","(0.67)","(1.70)","(2.15)"
"European","0.58 ","-0.41 ","-0.26 ","-1.43 ","0.97 "
"","(0.46)","(0.55)","(0.46)","(1.14)","(1.44)"
"African","0.50 ","-0.73 ","-0.40 ","-2.98 ***","0.81 "
"","(0.43)","(0.51)","(0.42)","(1.07)","(1.36)"
"Western Pacific","0.60 ","-0.44 ","0.07 ","-2.48 **","2.43 "
"","(0.50)","(0.61)","(0.49)","(1.24)","(1.57)"
"South-East Asia","0.30 ","0.00 ","-0.09 ","-2.67 *","0.72 "
"","(0.64)","(0.78)","(0.63)","(1.57)","(2.00)"
"(Intercept)","2.74 **","-2.36 ","1.52 ","3.02 ","-0.96 "
"","(1.34)","(1.61)","(1.31)","(3.35)","(4.22)"
"Bloomberg FCTC Amount","-0.06 ","0.24 ","0.16 ","0.58 ","0.75 "
"","(0.24)","(0.29)","(0.23)","(0.58)","(0.74)"
"N","143","143","143","143","143"
"Pseudo R2","0.05","0.10","0.07","0.07","0.05"
"Interest Group co-membership","Article 5","Article 6","Article 8","Article 11","Article 13"
"rho","-0.02 ","0.11 ","0.01 ","0.15 ","0.19 "
"","(0.06)","(0.08)","(0.16)","(0.10)","(0.12)"
"Gov. Ownership","0.05 ","0.18 ","0.41 ","0.39 ","0.06 "
"","(0.42)","(0.51)","(0.41)","(1.06)","(1.31)"
"Tobacco Prod. PP","0.17 ","-0.28 ","-0.48 **","0.07 ","0.30 "
"","(0.22)","(0.26)","(0.21)","(0.54)","(0.67)"
"Years since Sign.","0.14 ","0.37 **","0.11 ","0.07 ","0.15 "
"","(0.13)","(0.15)","(0.13)","(0.34)","(0.41)"
"Years since Ratif.","0.17 *","0.10 ","0.15 *","0.88 ***","0.66 **"
"","(0.09)","(0.11)","(0.09)","(0.23)","(0.28)"
"GDP pp","-0.15 ","0.35 **","-0.22 ","0.11 ","0.22 "
"","(0.15)","(0.18)","(0.14)","(0.37)","(0.46)"
"Democracy","0.06 ","0.03 ","0.14 ","-0.54 ","0.06 "
"","(0.17)","(0.21)","(0.17)","(0.44)","(0.54)"
"% Female Smoke","-0.00 ","0.42 **","0.47 ***","0.32 ","0.88 *"
"","(0.17)","(0.20)","(0.16)","(0.42)","(0.52)"
"% Male Smoke","0.22 ","0.30 ","0.12 ","0.28 ","0.17 "
"","(0.18)","(0.22)","(0.18)","(0.46)","(0.57)"
"Labor","-0.15 ","-0.02 ","-0.03 ","-0.59 ","-0.93 "
"","(0.19)","(0.23)","(0.19)","(0.49)","(0.61)"
