"Years since Ratif.","0.37 ***","0.31 ***","0.33 ***","1.34 ***","1.20 ***"
"","(0.12)","(0.12)","(0.11)","(0.27)","(0.31)"
"Tobacco Prod. PP","-0.14 ","-0.23 ","-0.36 *","-0.27 ","-0.30 "
"","(0.19)","(0.21)","(0.21)","(0.43)","(0.52)"
"% Female Smoke","-0.21 ","0.11 ","0.14 ","0.01 ","0.25 "
"","(0.23)","(0.23)","(0.23)","(0.49)","(0.59)"
"% Male Smoke","0.29 ","0.25 ","0.16 ","0.34 ","0.24 "
"","(0.25)","(0.25)","(0.25)","(0.54)","(0.64)"
"Labor","-0.02 ","0.13 ","0.10 ","-0.44 ","-0.49 "
"","(0.27)","(0.27)","(0.27)","(0.58)","(0.69)"
"Women's rights","0.45 ","0.75 ","0.86 ","-0.05 ","2.04 "
"","(0.62)","(0.62)","(0.62)","(1.33)","(1.59)"
"Population","0.22 ","0.39 **","0.11 ","0.43 ","0.59 "
"","(0.17)","(0.17)","(0.17)","(0.36)","(0.43)"
"Gov. Ownership","0.56 ","0.45 ","0.78 ","1.38 ","2.52 *"
"","(0.60)","(0.60)","(0.60)","(1.27)","(1.51)"
"N","176","176","176","176","176"
"Pseudo R2","0.08","0.12","0.08","0.08","0.08"
"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","-0.07 ","0.09 ","0.45 ","0.24 ","0.03 "
"","(0.14)","(0.14)","(0.32)","(0.19)","(0.17)"
"Bloomberg FCTC $$$ PP","-0.27 *","-0.51 *","0.04 ","-0.23 ","-0.05 "
"","(0.15)","(0.29)","(0.14)","(0.32)","(0.37)"
"Eastern Mediterranean","1.56 ","0.34 ","2.04 **","-1.07 ","4.97 *"
"","(1.02)","(1.02)","(1.00)","(2.18)","(2.61)"
"European","0.70 ","0.53 ","0.37 ","0.96 ","2.98 *"
"","(0.63)","(0.62)","(0.62)","(1.35)","(1.62)"
"African","0.08 ","-0.51 ","-0.51 ","-2.26 *","0.66 "
"","(0.57)","(0.57)","(0.57)","(1.25)","(1.53)"
"Western Pacific","0.54 ","0.10 ","-0.09 ","-1.88 ","1.56 "
"","(0.75)","(0.77)","(0.74)","(1.60)","(1.92)"
"South-East Asia","-0.86 ","-0.74 ","-1.09 ","-4.48 **","-1.45 "
"","(0.88)","(0.88)","(0.86)","(1.87)","(2.26)"
"Democracy","0.18 ","0.21 ","0.22 ","-0.53 ","0.09 "
"","(0.24)","(0.24)","(0.24)","(0.53)","(0.63)"
"GDP pp","-0.08 ","0.35 ","-0.08 ","0.06 ","0.12 "
"","(0.22)","(0.22)","(0.21)","(0.46)","(0.55)"
"Years since Sign.","0.46 ***","0.45 ***","0.32 **","0.57 ","0.94 **"
"","(0.16)","(0.16)","(0.16)","(0.36)","(0.44)"
"Years since Ratif.","0.37 ***","0.30 **","0.32 ***","1.30 ***","1.19 ***"
"","(0.12)","(0.12)","(0.11)","(0.27)","(0.31)"
"Tobacco Prod. PP","-0.14 ","-0.22 ","-0.36 *","-0.22 ","-0.28 "
"","(0.20)","(0.21)","(0.20)","(0.42)","(0.52)"
"% Female Smoke","-0.19 ","0.11 ","0.11 ","-0.03 ","0.27 "
"","(0.23)","(0.23)","(0.23)","(0.49)","(0.59)"
"% Male Smoke","0.29 ","0.25 ","0.15 ","0.34 ","0.24 "
"","(0.25)","(0.25)","(0.24)","(0.54)","(0.64)"
"Labor","-0.02 ","0.16 ","0.14 ","-0.32 ","-0.45 "
"","(0.27)","(0.27)","(0.27)","(0.58)","(0.69)"
"Women's rights","0.44 ","0.85 ","0.93 ","0.32 ","2.16 "
"","(0.63)","(0.63)","(0.62)","(1.35)","(1.61)"
"Population","0.20 ","0.36 **","0.09 ","0.33 ","0.55 "
"","(0.17)","(0.17)","(0.17)","(0.36)","(0.43)"
"Gov. Ownership","0.59 ","0.51 ","0.78 ","1.51 ","2.55 *"
"","(0.60)","(0.60)","(0.59)","(1.27)","(1.51)"
"N","176","176","176","176","176"
"Pseudo R2","0.08","0.12","0.08","0.08","0.08"
"Tobacco Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.08 ","0.24 **","0.68 ***","0.30 **","0.09 "
"","(0.11)","(0.11)","(0.21)","(0.13)","(0.13)"
"Bloomberg FCTC $$$ PP","-0.23 *","-0.49 *","0.01 ","-0.34 ","-0.06 "
"","(0.14)","(0.26)","(0.13)","(0.29)","(0.34)"
"Eastern Mediterranean","1.59 ","0.38 ","2.09 **","-0.96 ","4.98 *"
"","(1.02)","(1.00)","(0.98)","(2.16)","(2.60)"
"European","0.70 ","0.38 ","0.11 ","0.47 ","2.85 *"
"","(0.63)","(0.61)","(0.60)","(1.34)","(1.63)"
"African","0.08 ","-0.55 ","-0.51 ","-2.24 *","0.60 "
"","(0.57)","(0.56)","(0.55)","(1.25)","(1.53)"
"Western Pacific","0.52 ","0.17 ","-0.03 ","-1.50 ","1.73 "
"","(0.75)","(0.74)","(0.72)","(1.59)","(1.92)"
"South-East Asia","-0.90 ","-0.61 ","-0.91 ","-4.18 **","-1.34 "
"","(0.88)","(0.86)","(0.84)","(1.84)","(2.24)"
"Democracy","0.16 ","0.19 ","0.24 ","-0.49 ","0.07 "
"","(0.24)","(0.24)","(0.23)","(0.52)","(0.63)"
"GDP pp","-0.11 ","0.31 ","-0.13 ","0.02 ","0.09 "
"","(0.22)","(0.21)","(0.21)","(0.46)","(0.55)"
"Years since Sign.","0.45 ***","0.44 ***","0.35 **","0.54 ","0.92 **"
"","(0.16)","(0.16)","(0.15)","(0.36)","(0.43)"
"Years since Ratif.","0.35 ***","0.26 **","0.30 ***","1.27 ***","1.17 ***"
"","(0.12)","(0.12)","(0.11)","(0.27)","(0.31)"
"Tobacco Prod. PP","-0.15 ","-0.27 ","-0.42 **","-0.37 ","-0.32 "
"","(0.20)","(0.21)","(0.20)","(0.42)","(0.52)"
"% Female Smoke","-0.19 ","0.14 ","0.18 ","0.12 ","0.32 "
"","(0.23)","(0.22)","(0.22)","(0.49)","(0.59)"
"% Male Smoke","0.29 ","0.24 ","0.12 ","0.33 ","0.19 "
"","(0.25)","(0.24)","(0.24)","(0.53)","(0.64)"
"Labor","-0.01 ","0.14 ","0.13 ","-0.40 ","-0.47 "
"","(0.27)","(0.27)","(0.26)","(0.58)","(0.69)"
"Women's rights","0.44 ","0.65 ","0.66 ","-0.09 ","2.06 "
"","(0.63)","(0.62)","(0.60)","(1.32)","(1.59)"
"Population","0.19 ","0.33 **","0.04 ","0.26 ","0.53 "
"","(0.17)","(0.16)","(0.16)","(0.35)","(0.43)"
"Gov. Ownership","0.57 ","0.36 ","0.70 ","1.27 ","2.48 "
"","(0.60)","(0.59)","(0.58)","(1.26)","(1.52)"
"N","176","176","176","176","176"
"Pseudo R2","0.08","0.12","0.09","0.08","0.08"
"GLOBALink Referrals","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.03 ","0.20 **","0.32 **","0.21 **","0.08 "
"","(0.08)","(0.08)","(0.16)","(0.10)","(0.10)"
"Bloomberg FCTC $$$ PP","-0.24 *","-0.51 *","-0.01 ","-0.33 ","-0.05 "
"","(0.14)","(0.28)","(0.13)","(0.30)","(0.34)"
"Eastern Mediterranean","1.51 ","0.05 ","1.89 *","-1.66 ","4.77 *"
"","(1.03)","(1.00)","(1.00)","(2.18)","(2.62)"
"European","0.69 ","0.13 ","-0.17 ","0.06 ","2.82 *"
"","(0.64)","(0.63)","(0.65)","(1.37)","(1.63)"
"African","0.09 ","-0.63 ","-0.45 ","-2.34 *","0.58 "
"","(0.57)","(0.56)","(0.56)","(1.25)","(1.53)"
"Western Pacific","0.47 ","-0.20 ","-0.17 ","-2.22 ","1.53 "
"","(0.75)","(0.76)","(0.73)","(1.61)","(1.91)"
"South-East Asia","-0.94 ","-1.02 ","-1.12 ","-4.69 **","-1.54 "
"","(0.88)","(0.87)","(0.86)","(1.87)","(2.24)"
"Democracy","0.17 ","0.22 ","0.33 ","-0.44 ","0.12 "
"","(0.24)","(0.24)","(0.24)","(0.52)","(0.63)"
"GDP pp","-0.10 ","0.33 ","-0.04 ","0.12 ","0.08 "
"","(0.22)","(0.21)","(0.21)","(0.46)","(0.55)"
"Years since Sign.","0.45 ***","0.38 **","0.31 **","0.50 ","0.90 **"
"","(0.16)","(0.16)","(0.16)","(0.36)","(0.43)"
"Years since Ratif.","0.36 ***","0.27 **","0.31 ***","1.27 ***","1.17 ***"
"","(0.12)","(0.11)","(0.11)","(0.27)","(0.31)"
"Tobacco Prod. PP","-0.13 ","-0.24 ","-0.34 ","-0.27 ","-0.28 "
"","(0.20)","(0.21)","(0.21)","(0.43)","(0.52)"
"% Female Smoke","-0.20 ","0.13 ","0.22 ","0.06 ","0.25 "
"","(0.23)","(0.22)","(0.23)","(0.49)","(0.59)"
"% Male Smoke","0.29 ","0.25 ","0.14 ","0.42 ","0.24 "
"","(0.25)","(0.24)","(0.24)","(0.54)","(0.64)"
"Labor","-0.02 ","0.12 ","0.07 ","-0.46 ","-0.44 "
"","(0.27)","(0.27)","(0.27)","(0.58)","(0.69)"
"Women's rights","0.46 ","0.67 ","0.82 ","-0.12 ","2.07 "
"","(0.63)","(0.61)","(0.61)","(1.33)","(1.59)"
"Population","0.19 ","0.34 **","0.08 ","0.29 ","0.53 "
"","(0.17)","(0.16)","(0.17)","(0.35)","(0.43)"
"Gov. Ownership","0.55 ","0.17 ","0.63 ","0.96 ","2.38 "
"","(0.61)","(0.60)","(0.60)","(1.29)","(1.53)"
"N","176","176","176","176","176"
"Pseudo R2","0.08","0.12","0.08","0.08","0.08"
"GLOBALink co-subscription","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.13 *","0.21 **","0.51 **","0.31 ***","0.38 ***"
"","(0.08)","(0.08)","(0.22)","(0.11)","(0.13)"
"Bloomberg FCTC $$$ PP","-0.22 ","-0.60 *","0.02 ","-0.29 ","0.06 "
"","(0.14)","(0.32)","(0.13)","(0.29)","(0.34)"
"Eastern Mediterranean","1.73 *","0.52 ","2.12 **","-0.81 ","5.50 **"
"","(1.02)","(1.00)","(1.00)","(2.15)","(2.55)"
"European","0.66 ","0.32 ","0.10 ","0.29 ","2.31 "
"","(0.62)","(0.62)","(0.62)","(1.33)","(1.60)"
"African","0.18 ","-0.38 ","-0.44 ","-1.96 ","0.95 "
"","(0.57)","(0.56)","(0.56)","(1.24)","(1.49)"
"Western Pacific","0.54 ","0.25 ","-0.09 ","-1.59 ","1.52 "
"","(0.74)","(0.75)","(0.73)","(1.57)","(1.86)"
"South-East Asia","-0.72 ","-0.40 ","-0.88 ","-3.64 **","-0.80 "
"","(0.88)","(0.86)","(0.86)","(1.84)","(2.19)"
"Democracy","0.24 ","0.33 ","0.32 ","-0.24 ","0.32 "
"","(0.24)","(0.24)","(0.24)","(0.52)","(0.62)"
"GDP pp","-0.06 ","0.43 **","-0.02 ","0.26 ","0.25 "
"","(0.22)","(0.21)","(0.21)","(0.45)","(0.54)"
"Years since Sign.","0.43 ***","0.42 ***","0.32 **","0.55 ","0.81 *"
"","(0.16)","(0.16)","(0.15)","(0.35)","(0.42)"
"Years since Ratif.","0.32 ***","0.23 **","0.26 **","1.14 ***","1.01 ***"
"","(0.12)","(0.12)","(0.12)","(0.27)","(0.31)"
"Tobacco Prod. PP","-0.14 ","-0.24 ","-0.38 *","-0.27 ","-0.28 "
"","(0.19)","(0.21)","(0.22)","(0.43)","(0.52)"
"% Female Smoke","-0.20 ","0.11 ","0.14 ","-0.00 ","0.23 "
"","(0.23)","(0.22)","(0.23)","(0.48)","(0.57)"
"% Male Smoke","0.30 ","0.27 ","0.17 ","0.42 ","0.33 "
"","(0.25)","(0.24)","(0.24)","(0.53)","(0.63)"
"Labor","0.02 ","0.20 ","0.14 ","-0.28 ","-0.28 "
"","(0.27)","(0.27)","(0.27)","(0.57)","(0.68)"
"Women's rights","0.52 ","0.80 ","0.88 ","0.06 ","1.97 "
"","(0.62)","(0.62)","(0.61)","(1.31)","(1.55)"
"Population","0.21 ","0.38 **","0.09 ","0.36 ","0.57 "
"","(0.17)","(0.16)","(0.17)","(0.35)","(0.41)"
"Gov. Ownership","0.48 ","0.26 ","0.68 ","1.00 ","1.89 "
"","(0.60)","(0.60)","(0.59)","(1.27)","(1.50)"
"N","176","176","176","176","176"
"Pseudo R2","0.08","0.13","0.09","0.08","0.09"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes 'percapita amount of FCTC Bloomberg funds'. "
