Art. 5
General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
Years since Ratif.,0.66 (0.13) ***,0.65 (0.13) ***,0.65 (0.13) ***,0.67 (0.13) ***,0.66 (0.13) ***,0.64 (0.13) ***,0.64 (0.13) ***,0.70 (0.14) ***,0.71 (0.14) ***,0.63 (0.13) ***
GDP pp,0.44 (0.21) **,0.47 (0.21) **,0.48 (0.21) **,0.47 (0.22) **,0.49 (0.21) **,0.49 (0.21) **,0.45 (0.21) **,0.42 (0.22) *,0.46 (0.21) **,0.52 (0.20) **
Democracy,0.42 (0.24) *,0.41 (0.24) *,0.41 (0.24) *,0.44 (0.25) *,0.40 (0.24) *,0.38 (0.24) ,0.41 (0.24) *,0.37 (0.25) ,0.33 (0.25) ,0.45 (0.25) *
Art. 8
rho,0.01 (0.12) ,0.11 (0.08) ,0.03 (0.08) ,0.14 (0.16) ,0.08 (0.07) ,0.03 (0.09) ,0.09 (0.07) ,-0.03 (0.16) ,-0.01 (0.12) ,0.11 (0.08) 
Gov. Ownership,0.78 (0.50) ,0.71 (0.48) ,0.77 (0.50) ,0.77 (0.50) ,0.73 (0.50) ,0.80 (0.49) ,0.64 (0.49) ,0.80 (0.49) ,0.79 (0.49) ,0.71 (0.49) 
Tobacco Prod. PP,-0.23 (0.18) ,-0.24 (0.17) ,-0.24 (0.18) ,-0.25 (0.18) ,-0.23 (0.17) ,-0.23 (0.18) ,-0.23 (0.17) ,-0.25 (0.18) ,-0.23 (0.18) ,-0.24 (0.18) 
Years since Sign.,0.31 (0.15) **,0.29 (0.14) **,0.30 (0.14) **,0.32 (0.15) **,0.29 (0.15) *,0.30 (0.14) **,0.30 (0.14) **,0.33 (0.15) **,0.31 (0.15) **,0.29 (0.14) **
Years since Ratif.,0.52 (0.10) ***,0.50 (0.10) ***,0.51 (0.10) ***,0.51 (0.11) ***,0.51 (0.10) ***,0.51 (0.10) ***,0.50 (0.10) ***,0.52 (0.11) ***,0.52 (0.11) ***,0.49 (0.10) ***
GDP pp,0.07 (0.17) ,0.06 (0.17) ,0.07 (0.17) ,0.05 (0.17) ,0.07 (0.17) ,0.08 (0.17) ,0.06 (0.17) ,0.06 (0.18) ,0.08 (0.17) ,0.08 (0.17) 
Democracy,0.41 (0.20) **,0.42 (0.20) **,0.42 (0.20) **,0.45 (0.20) **,0.42 (0.19) **,0.41 (0.20) **,0.43 (0.20) **,0.40 (0.20) *,0.41 (0.20) **,0.45 (0.20) **
Art. 11
rho,0.26 (0.13) **,0.13 (0.10) ,0.14 (0.09) ,0.34 (0.23) ,0.13 (0.08) *,0.17 (0.12) ,0.21 (0.09) **,-0.02 (0.19) ,0.12 (0.19) ,0.20 (0.10) *
Gov. Ownership,2.71 (1.26) **,2.45 (1.26) *,2.53 (1.25) **,2.66 (1.33) **,2.45 (1.26) *,2.53 (1.27) **,2.02 (1.27) ,2.71 (1.29) **,2.76 (1.29) **,2.36 (1.26) *
Tobacco Prod. PP,-0.19 (0.42) ,-0.24 (0.43) ,-0.21 (0.42) ,-0.26 (0.45) ,-0.22 (0.41) ,-0.23 (0.43) ,-0.21 (0.44) ,-0.26 (0.46) ,-0.24 (0.44) ,-0.20 (0.44) 
Years since Sign.,0.56 (0.40) ,0.59 (0.40) ,0.60 (0.39) ,0.68 (0.43) ,0.60 (0.41) ,0.65 (0.40) ,0.55 (0.39) ,0.67 (0.42) ,0.70 (0.42) *,0.58 (0.40) 
Years since Ratif.,2.07 (0.31) ***,1.99 (0.30) ***,1.99 (0.29) ***,2.11 (0.33) ***,2.00 (0.30) ***,1.95 (0.30) ***,1.97 (0.30) ***,2.06 (0.32) ***,2.02 (0.32) ***,1.91 (0.30) ***
GDP pp,0.43 (0.44) ,0.50 (0.43) ,0.49 (0.44) ,0.47 (0.46) ,0.51 (0.42) ,0.55 (0.44) ,0.47 (0.42) ,0.58 (0.46) ,0.59 (0.44) ,0.66 (0.44) 
Democracy,0.29 (0.53) ,0.31 (0.51) ,0.34 (0.50) ,0.39 (0.54) ,0.30 (0.50) ,0.21 (0.50) ,0.32 (0.50) ,0.28 (0.53) ,0.38 (0.53) ,0.43 (0.51) 
Art. 13
rho,0.01 (0.13) ,-0.03 (0.10) ,0.00 (0.09) ,-0.19 (0.30) ,0.00 (0.08) ,-0.14 (0.14) ,-0.01 (0.08) ,-0.17 (0.19) ,-0.28 (0.17) *,0.20 (0.11) *
Gov. Ownership,2.70 (1.54) *,2.77 (1.56) *,2.70 (1.54) *,3.25 (1.82) *,2.70 (1.56) *,2.72 (1.54) *,2.74 (1.56) *,2.81 (1.62) *,2.73 (1.65) *,2.22 (1.54) 
Tobacco Prod. PP,-0.15 (0.52) ,-0.17 (0.53) ,-0.12 (0.52) ,-0.22 (0.65) ,-0.15 (0.52) ,-0.16 (0.53) ,-0.16 (0.52) ,-0.22 (0.57) ,-0.20 (0.59) ,-0.12 (0.52) 
Years since Sign.,1.01 (0.50) **,1.04 (0.49) **,1.03 (0.50) **,1.40 (0.67) **,1.04 (0.50) **,1.03 (0.50) **,1.04 (0.51) **,1.13 (0.53) **,1.14 (0.53) **,0.92 (0.48) *
Years since Ratif.,2.10 (0.35) ***,2.09 (0.35) ***,2.09 (0.35) ***,2.47 (0.51) ***,2.11 (0.35) ***,2.14 (0.35) ***,2.11 (0.36) ***,2.18 (0.38) ***,2.35 (0.41) ***,1.99 (0.36) ***
GDP pp,0.82 (0.54) ,0.82 (0.54) ,0.82 (0.55) ,0.79 (0.61) ,0.80 (0.53) ,0.83 (0.54) ,0.81 (0.55) ,0.66 (0.58) ,0.65 (0.58) ,0.90 (0.53) *
Democracy,0.80 (0.65) ,0.77 (0.64) ,0.81 (0.63) ,0.86 (0.74) ,0.80 (0.63) ,0.83 (0.64) ,0.76 (0.64) ,0.76 (0.66) ,0.56 (0.69) ,0.97 (0.63) 
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
