"Centroid Distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"Years since Ratif.","0.06 ","-0.09 ","0.08 ","0.55 **","0.29 "
"","(0.09)","(0.10)","(0.09)","(0.24)","(0.29)"
"Tobacco Prod. PP","0.15 ","-0.29 ","-0.51 **","0.06 ","0.01 "
"","(0.20)","(0.24)","(0.21)","(0.51)","(0.64)"
"% Female Smoke","0.03 ","0.40 **","0.47 ***","0.39 ","0.75 "
"","(0.16)","(0.18)","(0.16)","(0.39)","(0.50)"
"% Male Smoke","0.19 ","0.27 ","0.11 ","0.21 ","0.00 "
"","(0.17)","(0.20)","(0.18)","(0.44)","(0.55)"
"Labor","-0.07 ","0.04 ","0.02 ","-0.45 ","-0.36 "
"","(0.18)","(0.21)","(0.19)","(0.46)","(0.58)"
"Women's rights","-0.09 ","0.28 ","0.25 ","-1.24 ","0.73 "
"","(0.41)","(0.49)","(0.43)","(1.05)","(1.30)"
"Population","0.06 ","0.15 ","0.00 ","0.02 ","0.11 "
"","(0.11)","(0.13)","(0.11)","(0.27)","(0.34)"
"Gov. Ownership","-0.04 ","-0.40 ","0.23 ","-0.17 ","0.61 "
"","(0.40)","(0.47)","(0.41)","(1.01)","(1.24)"
"N","145","145","145","145","145"
"Pseudo R2","0.07","0.14","0.06","0.07","0.07"
"GLOBALink co-subscription","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.00 ","0.15 **","0.04 ","0.14 ","0.22 *"
"","(0.06)","(0.07)","(0.17)","(0.10)","(0.11)"
"Implemented 2010","0.22 ***","0.41 ***","0.12 ","0.31 ***","0.34 ***"
"","(0.06)","(0.07)","(0.11)","(0.08)","(0.08)"
"Eastern Mediterranean","0.51 ","-0.63 ","0.80 ","-2.64 ","3.32 "
"","(0.67)","(0.77)","(0.69)","(1.67)","(2.07)"
"European","0.23 ","-0.55 ","-0.29 ","-0.49 ","1.00 "
"","(0.43)","(0.50)","(0.44)","(1.08)","(1.36)"
"African","0.37 ","-0.62 ","-0.48 ","-2.02 **","0.88 "
"","(0.40)","(0.46)","(0.41)","(1.01)","(1.28)"
"Western Pacific","0.38 ","-0.46 ","0.10 ","-1.78 ","2.06 "
"","(0.48)","(0.55)","(0.49)","(1.21)","(1.50)"
"South-East Asia","0.22 ","0.10 ","0.02 ","-1.72 ","1.31 "
"","(0.63)","(0.72)","(0.64)","(1.55)","(1.93)"
"Democracy","-0.02 ","-0.11 ","0.13 ","-0.77 *","-0.15 "
"","(0.17)","(0.19)","(0.17)","(0.42)","(0.52)"
"GDP pp","-0.21 ","0.25 ","-0.21 ","-0.06 ","-0.26 "
"","(0.14)","(0.16)","(0.14)","(0.35)","(0.44)"
"Years since Sign.","0.12 ","0.28 **","0.10 ","0.01 ","0.20 "
"","(0.12)","(0.14)","(0.13)","(0.31)","(0.39)"
"Years since Ratif.","0.05 ","-0.14 ","0.08 ","0.50 **","0.19 "
"","(0.09)","(0.10)","(0.09)","(0.24)","(0.29)"
"Tobacco Prod. PP","0.13 ","-0.28 ","-0.51 **","0.05 ","-0.06 "
"","(0.21)","(0.23)","(0.21)","(0.51)","(0.64)"
"% Female Smoke","0.02 ","0.39 **","0.45 ***","0.36 ","0.74 "
"","(0.16)","(0.18)","(0.16)","(0.39)","(0.49)"
"% Male Smoke","0.19 ","0.30 ","0.12 ","0.23 ","0.08 "
"","(0.17)","(0.20)","(0.18)","(0.44)","(0.54)"
"Labor","-0.06 ","0.10 ","0.03 ","-0.36 ","-0.22 "
"","(0.18)","(0.21)","(0.19)","(0.46)","(0.58)"
"Women's rights","-0.14 ","0.33 ","0.25 ","-1.21 ","0.58 "
"","(0.42)","(0.48)","(0.43)","(1.04)","(1.29)"
"Population","0.04 ","0.17 ","0.00 ","0.05 ","0.15 "
"","(0.11)","(0.13)","(0.11)","(0.27)","(0.34)"
"Gov. Ownership","-0.18 ","-0.42 ","0.25 ","-0.21 ","0.31 "
"","(0.40)","(0.47)","(0.41)","(1.00)","(1.23)"
"N","145","145","145","145","145"
"Pseudo R2","0.07","0.14","0.06","0.07","0.07"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes the number of items reported on 2010. Also, it only includes members that provided a reported on 2012. "
