"Centroid Distance","Article 5","Article 6","Article 8","Article 11","Article 13"
"African","0.50 ","-0.43 ","-0.37 ","-1.92 ","0.64 "
"","(0.61)","(0.59)","(0.59)","(1.25)","(1.57)"
"Western Pacific","0.42 ","-0.05 ","-0.45 ","-0.45 ","1.62 "
"","(0.81)","(0.81)","(0.76)","(1.61)","(2.07)"
"South-East Asia","-1.22 ","-1.16 ","-1.36 ","-4.30 **","-1.67 "
"","(0.92)","(0.96)","(0.84)","(1.80)","(2.43)"
"Democracy","0.12 ","0.13 ","0.14 ","-0.07 ","0.38 "
"","(0.26)","(0.25)","(0.25)","(0.53)","(0.67)"
"GDP pp","-0.14 ","0.38 *","-0.03 ","-0.19 ","-0.02 "
"","(0.22)","(0.22)","(0.21)","(0.45)","(0.58)"
"Years since Sign.","0.40 **","0.41 **","0.35 **","0.49 ","0.79 *"
"","(0.16)","(0.16)","(0.15)","(0.34)","(0.43)"
"Years since Ratif.","0.43 ***","0.33 ***","0.33 ***","1.22 ***","1.23 ***"
"","(0.13)","(0.13)","(0.12)","(0.27)","(0.34)"
"Tobacco Prod. PP","-0.16 ","-0.34 ","-0.39 *","-0.47 ","-0.49 "
"","(0.20)","(0.22)","(0.20)","(0.41)","(0.53)"
"% Female Smoke","-0.12 ","0.06 ","0.21 ","-0.03 ","0.14 "
"","(0.25)","(0.24)","(0.24)","(0.50)","(0.63)"
"% Male Smoke","0.30 ","0.33 ","0.21 ","-0.04 ","-0.01 "
"","(0.27)","(0.26)","(0.25)","(0.54)","(0.68)"
"Labor","-0.00 ","0.19 ","0.08 ","-0.21 ","-0.13 "
"","(0.27)","(0.27)","(0.26)","(0.55)","(0.70)"
"Women's rights","0.75 ","1.10 *","1.19 *","0.46 ","2.20 "
"","(0.68)","(0.66)","(0.64)","(1.34)","(1.72)"
"Population","0.21 ","0.37 **","0.10 ","0.36 ","0.57 "
"","(0.17)","(0.16)","(0.16)","(0.33)","(0.42)"
"Gov. Ownership","0.63 ","0.34 ","0.71 ","1.25 ","2.93 *"
"","(0.62)","(0.60)","(0.59)","(1.22)","(1.55)"
"N","154","154","154","154","154"
"Pseudo R2","0.08","0.12","0.09","0.08","0.08"
"General Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","-0.08 ","0.09 ","0.65 *","-0.09 ","-0.15 "
"","(0.16)","(0.17)","(0.36)","(0.22)","(0.20)"
"PolShift","0.24 ","0.40 ","0.33 ","-0.00 ","-0.13 "
"","(0.44)","(0.43)","(0.41)","(0.90)","(1.12)"
"Eastern Mediterranean","1.62 ","0.51 ","1.86 *","-0.04 ","5.56 **"
"","(1.04)","(1.01)","(0.97)","(2.09)","(2.64)"
"European","0.60 ","0.18 ","0.06 ","0.75 ","2.68 "
"","(0.65)","(0.64)","(0.61)","(1.31)","(1.67)"
"African","0.37 ","-0.47 ","-0.37 ","-2.28 *","0.70 "
"","(0.60)","(0.59)","(0.56)","(1.23)","(1.57)"
"Western Pacific","0.61 ","-0.02 ","-0.55 ","-0.14 ","2.03 "
"","(0.82)","(0.81)","(0.76)","(1.64)","(2.07)"
"South-East Asia","-0.89 ","-0.95 ","-1.41 *","-3.68 **","-1.04 "
"","(0.89)","(0.89)","(0.83)","(1.79)","(2.28)"
"Democracy","0.15 ","0.11 ","0.05 ","-0.01 ","0.50 "
"","(0.27)","(0.26)","(0.25)","(0.55)","(0.68)"
"GDP pp","-0.11 ","0.40 *","-0.04 ","-0.09 ","0.05 "
"","(0.23)","(0.22)","(0.21)","(0.45)","(0.57)"
"Years since Sign.","0.43 ***","0.41 ***","0.30 **","0.59 *","0.85 **"
"","(0.16)","(0.16)","(0.15)","(0.34)","(0.43)"
"Years since Ratif.","0.42 ***","0.32 **","0.32 ***","1.18 ***","1.22 ***"
"","(0.13)","(0.13)","(0.12)","(0.27)","(0.34)"
"Tobacco Prod. PP","-0.15 ","-0.32 ","-0.37 *","-0.49 ","-0.55 "
"","(0.20)","(0.22)","(0.19)","(0.42)","(0.55)"
"% Female Smoke","-0.09 ","0.06 ","0.17 ","0.00 ","0.18 "
"","(0.25)","(0.25)","(0.24)","(0.50)","(0.63)"
"% Male Smoke","0.29 ","0.34 ","0.22 ","-0.03 ","-0.06 "
"","(0.27)","(0.26)","(0.25)","(0.54)","(0.68)"
"Labor","0.00 ","0.22 ","0.12 ","-0.18 ","-0.15 "
"","(0.27)","(0.27)","(0.26)","(0.56)","(0.70)"
"Women's rights","0.74 ","1.21 *","1.29 **","0.43 ","2.10 "
"","(0.68)","(0.68)","(0.64)","(1.38)","(1.72)"
"Population","0.20 ","0.35 **","0.09 ","0.30 ","0.57 "
"","(0.17)","(0.16)","(0.16)","(0.33)","(0.42)"
"Gov. Ownership","0.67 ","0.37 ","0.67 ","1.26 ","2.95 *"
"","(0.62)","(0.60)","(0.58)","(1.23)","(1.54)"
"N","154","154","154","154","154"
"Pseudo R2","0.08","0.12","0.10","0.08","0.08"
"Tobacco Trade","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.04 ","0.15 ","0.61 ***","0.12 ","-0.02 "
"","(0.11)","(0.11)","(0.20)","(0.13)","(0.13)"
"PolShift","0.25 ","0.32 ","0.27 ","-0.04 ","-0.10 "
"","(0.44)","(0.43)","(0.41)","(0.90)","(1.12)"
"Eastern Mediterranean","1.59 ","0.52 ","1.84 *","0.02 ","5.34 **"
"","(1.04)","(1.01)","(0.96)","(2.09)","(2.63)"
"European","0.60 ","0.08 ","-0.20 ","0.67 ","2.69 "
"","(0.65)","(0.64)","(0.60)","(1.32)","(1.68)"
"African","0.39 ","-0.47 ","-0.33 ","-2.26 *","0.63 "
"","(0.60)","(0.59)","(0.56)","(1.23)","(1.57)"
"Western Pacific","0.52 ","0.04 ","-0.53 ","-0.28 ","1.72 "
"","(0.81)","(0.78)","(0.74)","(1.61)","(2.04)"
"South-East Asia","-0.96 ","-0.82 ","-1.23 ","-3.81 **","-1.38 "
"","(0.88)","(0.86)","(0.81)","(1.76)","(2.24)"
"Democracy","0.11 ","0.11 ","0.12 ","-0.09 ","0.40 "
"","(0.26)","(0.25)","(0.24)","(0.53)","(0.67)"
"GDP pp","-0.13 ","0.39 *","-0.07 ","-0.14 ","0.02 "
"","(0.23)","(0.22)","(0.21)","(0.45)","(0.57)"
"Years since Sign.","0.42 ***","0.41 ***","0.34 **","0.53 ","0.81 *"
"","(0.16)","(0.16)","(0.15)","(0.34)","(0.43)"
"Years since Ratif.","0.41 ***","0.31 **","0.32 ***","1.18 ***","1.23 ***"
"","(0.13)","(0.13)","(0.12)","(0.27)","(0.34)"
"Tobacco Prod. PP","-0.16 ","-0.35 ","-0.42 **","-0.49 ","-0.48 "
"","(0.20)","(0.22)","(0.20)","(0.41)","(0.53)"
"% Female Smoke","-0.09 ","0.10 ","0.26 ","0.05 ","0.14 "
"","(0.25)","(0.24)","(0.23)","(0.50)","(0.64)"
"% Male Smoke","0.30 ","0.34 ","0.20 ","-0.01 ","-0.01 "
"","(0.27)","(0.26)","(0.25)","(0.54)","(0.68)"
"Labor","0.01 ","0.20 ","0.10 ","-0.18 ","-0.11 "
"","(0.27)","(0.27)","(0.25)","(0.55)","(0.70)"
"Women's rights","0.75 ","1.05 ","0.97 ","0.48 ","2.26 "
"","(0.68)","(0.66)","(0.63)","(1.35)","(1.72)"
"Population","0.19 ","0.34 **","0.05 ","0.27 ","0.56 "
"","(0.17)","(0.16)","(0.15)","(0.33)","(0.42)"
"Gov. Ownership","0.66 ","0.29 ","0.66 ","1.21 ","2.95 *"
"","(0.62)","(0.60)","(0.57)","(1.23)","(1.55)"
"N","154","154","154","154","154"
"Pseudo R2","0.08","0.12","0.11","0.08","0.08"
"GLOBALink Referrals","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.03 ","0.17 **","0.28 *","0.15 ","0.07 "
"","(0.09)","(0.08)","(0.15)","(0.10)","(0.10)"
"PolShift","0.25 ","0.31 ","0.28 ","-0.05 ","-0.11 "
"","(0.44)","(0.43)","(0.41)","(0.89)","(1.12)"
"Eastern Mediterranean","1.52 ","0.22 ","1.72 *","-0.45 ","5.06 *"
"","(1.06)","(1.01)","(0.98)","(2.10)","(2.66)"
"European","0.58 ","-0.16 ","-0.43 ","0.31 ","2.50 "
"","(0.67)","(0.65)","(0.65)","(1.35)","(1.68)"
"African","0.38 ","-0.57 ","-0.32 ","-2.32 *","0.54 "
"","(0.60)","(0.59)","(0.57)","(1.23)","(1.58)"
"Western Pacific","0.48 ","-0.29 ","-0.54 ","-0.74 ","1.61 "
"","(0.82)","(0.80)","(0.76)","(1.64)","(2.05)"
"South-East Asia","-0.99 ","-1.17 ","-1.39 *","-4.17 **","-1.52 "
"","(0.89)","(0.87)","(0.83)","(1.77)","(2.25)"
"Democracy","0.12 ","0.13 ","0.21 ","-0.08 ","0.40 "
"","(0.26)","(0.25)","(0.25)","(0.53)","(0.67)"
"GDP pp","-0.13 ","0.38 *","-0.01 ","-0.11 ","-0.03 "
"","(0.22)","(0.22)","(0.21)","(0.45)","(0.57)"
"Years since Sign.","0.42 ***","0.37 **","0.31 **","0.49 ","0.77 *"
"","(0.16)","(0.16)","(0.15)","(0.34)","(0.43)"
"Years since Ratif.","0.41 ***","0.30 **","0.32 ***","1.16 ***","1.21 ***"
"","(0.13)","(0.13)","(0.12)","(0.27)","(0.34)"
"Tobacco Prod. PP","-0.15 ","-0.35 ","-0.36 *","-0.45 ","-0.47 "
"","(0.20)","(0.22)","(0.20)","(0.42)","(0.53)"
"% Female Smoke","-0.10 ","0.10 ","0.30 ","0.05 ","0.14 "
"","(0.25)","(0.24)","(0.24)","(0.50)","(0.63)"
"% Male Smoke","0.30 ","0.34 ","0.20 ","0.04 ","0.00 "
"","(0.27)","(0.26)","(0.25)","(0.54)","(0.68)"
"Labor","0.01 ","0.19 ","0.06 ","-0.22 ","-0.10 "
"","(0.27)","(0.27)","(0.26)","(0.55)","(0.70)"
"Women's rights","0.74 ","0.96 ","1.11 *","0.33 ","2.16 "
"","(0.68)","(0.66)","(0.64)","(1.35)","(1.72)"
"Population","0.19 ","0.34 **","0.08 ","0.27 ","0.54 "
"","(0.17)","(0.16)","(0.16)","(0.33)","(0.42)"
"Gov. Ownership","0.63 ","0.11 ","0.57 ","0.92 ","2.82 *"
"","(0.63)","(0.61)","(0.58)","(1.24)","(1.55)"
"N","154","154","154","154","154"
"Pseudo R2","0.08","0.13","0.10","0.08","0.08"
"GLOBALink co-subscription","Article 5","Article 6","Article 8","Article 11","Article 13"
"Lagged Exposure (rho)","0.18 **","0.19 **","0.39 *","0.31 ***","0.37 ***"
"","(0.09)","(0.09)","(0.24)","(0.12)","(0.14)"
"PolShift","0.18 ","0.31 ","0.27 ","-0.15 ","-0.34 "
"","(0.44)","(0.43)","(0.42)","(0.88)","(1.11)"
"Eastern Mediterranean","1.89 *","0.74 ","1.97 **","0.50 ","5.95 **"
"","(1.04)","(1.01)","(0.98)","(2.05)","(2.59)"
"European","0.59 ","0.05 ","-0.10 ","0.52 ","2.22 "
"","(0.64)","(0.63)","(0.62)","(1.29)","(1.65)"
"African","0.55 ","-0.30 ","-0.29 ","-1.89 ","1.00 "
"","(0.60)","(0.59)","(0.57)","(1.21)","(1.55)"
"Western Pacific","0.65 ","0.17 ","-0.41 ","-0.06 ","1.81 "
"","(0.80)","(0.78)","(0.76)","(1.58)","(2.00)"
"South-East Asia","-0.65 ","-0.57 ","-1.16 ","-3.10 *","-0.60 "
"","(0.89)","(0.86)","(0.84)","(1.74)","(2.21)"
"Democracy","0.21 ","0.21 ","0.19 ","0.10 ","0.57 "
"","(0.26)","(0.25)","(0.25)","(0.52)","(0.66)"
"GDP pp","-0.09 ","0.46 **","0.00 ","0.00 ","0.10 "
"","(0.22)","(0.22)","(0.21)","(0.44)","(0.56)"
"Years since Sign.","0.40 **","0.39 **","0.33 **","0.49 ","0.67 "
"","(0.16)","(0.16)","(0.15)","(0.33)","(0.42)"
"Years since Ratif.","0.37 ***","0.27 **","0.28 **","1.04 ***","1.08 ***"
"","(0.13)","(0.13)","(0.12)","(0.27)","(0.34)"
"Tobacco Prod. PP","-0.16 ","-0.34 ","-0.39 *","-0.45 ","-0.46 "
"","(0.19)","(0.23)","(0.21)","(0.41)","(0.53)"
"% Female Smoke","-0.08 ","0.09 ","0.23 ","0.04 ","0.21 "
"","(0.25)","(0.24)","(0.24)","(0.49)","(0.62)"
"% Male Smoke","0.30 ","0.34 ","0.21 ","-0.01 ","0.03 "
"","(0.27)","(0.26)","(0.25)","(0.53)","(0.67)"
"Labor","0.07 ","0.28 ","0.12 ","-0.03 ","0.10 "
"","(0.27)","(0.27)","(0.26)","(0.54)","(0.69)"
"Women's rights","0.78 ","1.08 ","1.16 *","0.43 ","1.90 "
"","(0.67)","(0.66)","(0.64)","(1.32)","(1.68)"
"Population","0.22 ","0.38 **","0.09 ","0.33 ","0.59 "
"","(0.17)","(0.16)","(0.16)","(0.33)","(0.41)"
"Gov. Ownership","0.53 ","0.18 ","0.63 ","0.85 ","2.42 "
"","(0.62)","(0.60)","(0.58)","(1.21)","(1.53)"
"N","154","154","154","154","154"
"Pseudo R2","0.09","0.13","0.10","0.09","0.08"
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
"Note: This specification includes a variable capturing political shifts. "
