Art. 5
General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
Years since Sign.,0.30 (0.14) **,0.28 (0.14) **,0.30 (0.14) **,0.31 (0.15) **,0.28 (0.14) *,0.31 (0.14) **,0.29 (0.14) **,0.32 (0.15) **,0.31 (0.15) **,0.28 (0.14) **
Years since Ratif.,0.52 (0.10) ***,0.50 (0.10) ***,0.51 (0.10) ***,0.51 (0.11) ***,0.52 (0.10) ***,0.51 (0.10) ***,0.50 (0.10) ***,0.52 (0.11) ***,0.52 (0.10) ***,0.48 (0.11) ***
GDP pp,0.07 (0.17) ,0.06 (0.17) ,0.07 (0.17) ,0.06 (0.17) ,0.07 (0.17) ,0.07 (0.17) ,0.06 (0.17) ,0.07 (0.18) ,0.08 (0.17) ,0.09 (0.17) 
Democracy,0.41 (0.20) **,0.43 (0.20) **,0.43 (0.20) **,0.45 (0.20) **,0.43 (0.20) **,0.41 (0.20) **,0.44 (0.19) **,0.42 (0.20) **,0.41 (0.20) **,0.45 (0.20) **
Bloomberg FCTC Amount,0.05 (0.15) ,0.05 (0.15) ,0.05 (0.15) ,0.05 (0.15) ,0.06 (0.15) ,0.04 (0.15) ,0.06 (0.15) ,0.04 (0.15) ,0.04 (0.15) ,0.05 (0.15) 
Art. 11
rho,0.26 (0.13) *,0.12 (0.10) ,0.14 (0.09) ,0.34 (0.22) ,0.13 (0.08) *,0.16 (0.12) ,0.21 (0.09) **,-0.01 (0.19) ,0.14 (0.19) ,0.20 (0.11) *
Gov. Ownership,2.70 (1.26) **,2.50 (1.27) **,2.57 (1.26) **,2.63 (1.32) **,2.44 (1.23) **,2.55 (1.25) **,2.04 (1.27) ,2.76 (1.31) **,2.76 (1.29) **,2.33 (1.28) *
Tobacco Prod. PP,-0.17 (0.43) ,-0.26 (0.43) ,-0.21 (0.42) ,-0.27 (0.46) ,-0.25 (0.43) ,-0.20 (0.42) ,-0.21 (0.44) ,-0.24 (0.44) ,-0.21 (0.43) ,-0.21 (0.43) 
Years since Sign.,0.55 (0.42) ,0.57 (0.40) ,0.57 (0.40) ,0.67 (0.42) ,0.58 (0.40) ,0.62 (0.41) ,0.55 (0.40) ,0.65 (0.41) ,0.68 (0.41) *,0.56 (0.39) 
Years since Ratif.,2.06 (0.31) ***,1.97 (0.30) ***,2.00 (0.29) ***,2.09 (0.32) ***,1.99 (0.29) ***,1.96 (0.30) ***,1.97 (0.30) ***,2.06 (0.31) ***,2.01 (0.32) ***,1.90 (0.31) ***
GDP pp,0.43 (0.45) ,0.52 (0.44) ,0.50 (0.44) ,0.48 (0.46) ,0.52 (0.43) ,0.55 (0.44) ,0.48 (0.43) ,0.57 (0.47) ,0.62 (0.45) ,0.66 (0.44) 
Democracy,0.29 (0.53) ,0.32 (0.51) ,0.36 (0.51) ,0.43 (0.53) ,0.31 (0.51) ,0.23 (0.52) ,0.35 (0.51) ,0.30 (0.52) ,0.41 (0.54) ,0.44 (0.51) 
Bloomberg FCTC Amount,0.18 (0.39) ,0.19 (0.38) ,0.26 (0.38) ,0.26 (0.39) ,0.25 (0.38) ,0.21 (0.37) ,0.22 (0.38) ,0.21 (0.39) ,0.26 (0.39) ,0.24 (0.38) 
Art. 13
rho,0.00 (0.13) ,-0.04 (0.10) ,0.01 (0.09) ,-0.18 (0.31) ,0.01 (0.08) ,-0.14 (0.14) ,-0.01 (0.08) ,-0.16 (0.19) ,-0.26 (0.17) ,0.21 (0.11) *
Gov. Ownership,2.74 (1.52) *,2.84 (1.57) *,2.65 (1.54) *,3.26 (1.86) *,2.65 (1.56) *,2.76 (1.55) *,2.78 (1.53) *,2.83 (1.60) *,2.70 (1.62) *,2.25 (1.55) 
Tobacco Prod. PP,-0.16 (0.53) ,-0.14 (0.53) ,-0.14 (0.53) ,-0.28 (0.65) ,-0.15 (0.54) ,-0.17 (0.54) ,-0.16 (0.54) ,-0.19 (0.56) ,-0.19 (0.57) ,-0.12 (0.53) 
Years since Sign.,1.00 (0.50) **,1.00 (0.51) **,1.01 (0.51) *,1.34 (0.65) **,0.97 (0.51) *,1.00 (0.50) **,1.03 (0.52) *,1.08 (0.53) **,1.08 (0.55) **,0.87 (0.50) *
Years since Ratif.,2.10 (0.35) ***,2.11 (0.36) ***,2.09 (0.35) ***,2.44 (0.50) ***,2.08 (0.35) ***,2.14 (0.35) ***,2.08 (0.36) ***,2.18 (0.38) ***,2.32 (0.42) ***,1.99 (0.36) ***
GDP pp,0.82 (0.56) ,0.85 (0.56) ,0.82 (0.54) ,0.82 (0.60) ,0.83 (0.54) ,0.86 (0.55) ,0.84 (0.56) ,0.70 (0.56) ,0.67 (0.56) ,0.92 (0.53) *
Democracy,0.81 (0.63) ,0.85 (0.64) ,0.84 (0.65) ,0.93 (0.73) ,0.84 (0.64) ,0.91 (0.63) ,0.84 (0.63) ,0.81 (0.67) ,0.57 (0.69) ,1.03 (0.64) 
Bloomberg FCTC Amount,0.44 (0.47) ,0.45 (0.47) ,0.45 (0.47) ,0.46 (0.52) ,0.44 (0.46) ,0.45 (0.47) ,0.45 (0.46) ,0.40 (0.48) ,0.35 (0.50) ,0.46 (0.46) 
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
