Art. 5
General Trade,Tobacco Trade,Minimal distance,Centroid Distance,Country Borders,GlobalLink Posts,GlobalLink Referrals,FCTC COP co-participation,FCTC INB co-participation,Interest Group co-membership
Years since Sign.,0.44 (0.16) ***,0.44 (0.16) ***,0.43 (0.16) ***,0.44 (0.16) ***,0.44 (0.16) ***,0.45 (0.16) ***,0.39 (0.16) **,0.47 (0.16) ***,0.45 (0.16) ***,0.41 (0.16) **
Years since Ratif.,0.29 (0.13) **,0.28 (0.13) **,0.30 (0.13) **,0.29 (0.13) **,0.29 (0.13) **,0.27 (0.13) **,0.26 (0.13) **,0.29 (0.13) **,0.28 (0.13) **,0.24 (0.13) *
GDP pp,0.40 (0.22) *,0.39 (0.22) *,0.38 (0.23) *,0.39 (0.23) *,0.41 (0.22) *,0.38 (0.22) *,0.38 (0.22) *,0.36 (0.23) ,0.44 (0.23) *,0.47 (0.22) **
Democracy,0.06 (0.26) ,0.07 (0.26) ,0.08 (0.26) ,0.09 (0.26) ,0.10 (0.26) ,0.02 (0.26) ,0.08 (0.25) ,0.05 (0.26) ,0.13 (0.27) ,0.16 (0.26) 
% Female Smoke,0.09 (0.25) ,0.13 (0.25) ,0.09 (0.25) ,0.08 (0.25) ,0.10 (0.25) ,0.09 (0.25) ,0.13 (0.24) ,0.10 (0.25) ,0.10 (0.25) ,0.12 (0.25) 
% Male Smoke,0.33 (0.27) ,0.32 (0.27) ,0.32 (0.27) ,0.31 (0.27) ,0.31 (0.27) ,0.35 (0.27) ,0.33 (0.26) ,0.31 (0.27) ,0.32 (0.27) ,0.32 (0.26) 
Labor,0.19 (0.28) ,0.17 (0.27) ,0.16 (0.27) ,0.18 (0.27) ,0.16 (0.28) ,0.21 (0.27) ,0.16 (0.27) ,0.14 (0.28) ,0.18 (0.27) ,0.25 (0.27) 
Women's rights,1.24 (0.68) *,1.06 (0.67) ,1.11 (0.67) *,1.15 (0.67) *,1.13 (0.67) *,1.05 (0.67) ,0.96 (0.67) ,1.07 (0.67) ,1.14 (0.67) *,1.09 (0.66) *
Population,0.35 (0.16) **,0.33 (0.16) **,0.37 (0.17) **,0.35 (0.16) **,0.35 (0.16) **,0.33 (0.16) **,0.33 (0.16) **,0.32 (0.17) *,0.36 (0.17) **,0.37 (0.16) **
Eastern Mediterranean,0.43 (1.03) ,0.43 (1.02) ,0.39 (1.03) ,0.34 (1.05) ,0.39 (1.03) ,0.31 (1.02) ,0.10 (1.02) ,0.37 (1.03) ,0.41 (1.03) ,0.63 (1.02) 
European,0.18 (0.64) ,0.08 (0.65) ,0.01 (0.67) ,-0.03 (0.84) ,0.11 (0.66) ,0.13 (0.64) ,-0.18 (0.66) ,0.25 (0.65) ,0.12 (0.66) ,0.05 (0.64) 
African,-0.61 (0.60) ,-0.61 (0.60) ,-0.56 (0.60) ,-0.63 (0.61) ,-0.58 (0.60) ,-0.58 (0.60) ,-0.72 (0.59) ,-0.60 (0.60) ,-0.64 (0.61) ,-0.45 (0.60) 
Western Pacific,-0.01 (0.82) ,0.08 (0.79) ,-0.03 (0.81) ,-0.00 (0.87) ,0.12 (0.79) ,0.07 (0.79) ,-0.29 (0.81) ,0.11 (0.79) ,0.07 (0.81) ,0.19 (0.79) 
(Intercept),-5.37 (1.86) ***,-4.96 (1.78) ***,-5.00 (1.79) ***,-5.30 (1.92) ***,-4.92 (1.80) ***,-5.07 (1.77) ***,-4.47 (1.77) **,-4.25 (1.93) **,-5.27 (1.88) ***,-5.78 (1.82) ***
PolShift,0.44 (0.44) ,0.36 (0.44) ,0.43 (0.44) ,0.42 (0.44) ,0.42 (0.44) ,0.46 (0.43) ,0.34 (0.43) ,0.44 (0.43) ,0.40 (0.44) ,0.35 (0.43) 
N,154,154,154,154,154,154,154,154,154,154
pseudo-R^2,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.13
Art. 8
rho,0.76 (0.38) **,0.60 (0.22) ***,0.06 (0.26) ,1.53 (1.61) ,0.09 (0.20) ,0.32 (0.23) ,0.30 (0.16) *,-0.30 (0.41) ,0.36 (0.42) ,0.39 (0.25) 
Gov. Ownership,0.59 (0.60) ,0.58 (0.60) ,0.63 (0.61) ,0.52 (0.62) ,0.59 (0.62) ,0.63 (0.61) ,0.48 (0.61) ,0.66 (0.61) ,0.66 (0.61) ,0.55 (0.61) 
Tobacco Prod. PP,-0.38 (0.20) *,-0.43 (0.21) **,-0.40 (0.21) *,-0.42 (0.22) *,-0.40 (0.21) *,-0.41 (0.21) *,-0.37 (0.22) *,-0.40 (0.21) *,-0.40 (0.21) *,-0.40 (0.22) *
Years since Sign.,0.31 (0.16) **,0.35 (0.15) **,0.36 (0.16) **,0.34 (0.16) **,0.35 (0.16) **,0.36 (0.16) **,0.32 (0.16) **,0.38 (0.16) **,0.34 (0.16) **,0.34 (0.16) **
Years since Ratif.,0.28 (0.13) **,0.29 (0.13) **,0.29 (0.13) **,0.30 (0.13) **,0.30 (0.13) **,0.27 (0.13) **,0.28 (0.13) **,0.29 (0.13) **,0.28 (0.13) **,0.25 (0.13) *
GDP pp,-0.03 (0.22) ,-0.05 (0.22) ,-0.01 (0.22) ,-0.04 (0.22) ,-0.01 (0.22) ,-0.03 (0.22) ,0.01 (0.22) ,-0.06 (0.23) ,0.04 (0.23) ,0.02 (0.22) 
Democracy,0.05 (0.26) ,0.13 (0.25) ,0.15 (0.26) ,0.15 (0.26) ,0.15 (0.26) ,0.08 (0.26) ,0.22 (0.26) ,0.12 (0.26) ,0.21 (0.27) ,0.20 (0.26) 
% Female Smoke,0.16 (0.25) ,0.25 (0.24) ,0.20 (0.25) ,0.17 (0.25) ,0.20 (0.25) ,0.20 (0.25) ,0.29 (0.25) ,0.22 (0.25) ,0.21 (0.25) ,0.22 (0.25) 
% Male Smoke,0.21 (0.26) ,0.19 (0.26) ,0.19 (0.27) ,0.18 (0.26) ,0.19 (0.27) ,0.23 (0.26) ,0.18 (0.26) ,0.19 (0.27) ,0.22 (0.27) ,0.19 (0.26) 
Labor,0.15 (0.27) ,0.13 (0.27) ,0.10 (0.27) ,0.12 (0.27) ,0.10 (0.27) ,0.12 (0.27) ,0.08 (0.27) ,0.09 (0.27) ,0.12 (0.27) ,0.14 (0.27) 
Women's rights,1.17 (0.67) *,0.84 (0.66) ,1.05 (0.68) ,1.09 (0.68) ,1.04 (0.68) ,0.96 (0.67) ,0.97 (0.67) ,0.99 (0.68) ,0.99 (0.68) ,1.02 (0.67) 
Population,0.09 (0.16) ,0.06 (0.16) ,0.11 (0.17) ,0.12 (0.17) ,0.10 (0.17) ,0.08 (0.17) ,0.09 (0.16) ,0.08 (0.17) ,0.13 (0.17) ,0.10 (0.17) 
Eastern Mediterranean,1.78 (1.02) *,1.76 (1.01) *,1.76 (1.04) *,1.49 (1.06) ,1.79 (1.04) *,1.64 (1.02) ,1.63 (1.02) ,1.69 (1.03) ,1.72 (1.03) *,1.89 (1.03) *
European,0.08 (0.64) ,-0.18 (0.63) ,0.00 (0.65) ,-0.49 (0.83) ,0.02 (0.65) ,0.00 (0.64) ,-0.45 (0.68) ,0.07 (0.65) ,-0.16 (0.67) ,-0.09 (0.65) 
African,-0.47 (0.59) ,-0.43 (0.58) ,-0.47 (0.62) ,-0.57 (0.60) ,-0.43 (0.62) ,-0.43 (0.60) ,-0.41 (0.59) ,-0.49 (0.60) ,-0.61 (0.61) ,-0.39 (0.60) 
Western Pacific,-0.53 (0.79) ,-0.50 (0.78) ,-0.41 (0.80) ,-0.78 (0.88) ,-0.34 (0.82) ,-0.41 (0.79) ,-0.51 (0.79) ,-0.41 (0.80) ,-0.57 (0.82) ,-0.38 (0.80) 
(Intercept),-3.62 (1.77) **,-3.12 (1.72) *,-2.91 (1.75) *,-3.85 (2.03) *,-2.87 (1.74) *,-2.87 (1.72) *,-2.81 (1.73) ,-2.29 (1.89) ,-3.31 (1.82) *,-3.36 (1.76) *
PolShift,0.37 (0.43) ,0.30 (0.43) ,0.37 (0.44) ,0.39 (0.44) ,0.37 (0.44) ,0.37 (0.43) ,0.30 (0.43) ,0.38 (0.44) ,0.34 (0.44) ,0.30 (0.44) 
N,154,154,154,154,154,154,154,154,154,154
pseudo-R^2,0.09,0.10,0.08,0.09,0.08,0.09,0.09,0.08,0.08,0.09
Art. 11
rho,0.00 (0.23) ,0.10 (0.13) ,0.26 (0.19) ,1.07 (0.97) ,0.15 (0.14) ,0.29 (0.13) **,0.18 (0.10) *,0.22 (0.24) ,0.47 (0.23) **,0.30 (0.12) **
Gov. Ownership,1.02 (1.27) ,0.97 (1.27) ,1.00 (1.27) ,0.73 (1.30) ,0.89 (1.28) ,1.06 (1.25) ,0.60 (1.29) ,0.97 (1.27) ,1.14 (1.26) ,0.62 (1.26) 
Tobacco Prod. PP,-0.49 (0.44) ,-0.51 (0.43) ,-0.49 (0.43) ,-0.52 (0.43) ,-0.52 (0.43) ,-0.54 (0.43) ,-0.47 (0.43) ,-0.50 (0.43) ,-0.51 (0.42) ,-0.47 (0.43) 
Years since Sign.,0.63 (0.35) *,0.61 (0.35) *,0.56 (0.35) ,0.58 (0.35) ,0.56 (0.36) ,0.65 (0.34) *,0.53 (0.35) ,0.60 (0.35) *,0.58 (0.35) *,0.56 (0.34) 
Years since Ratif.,1.03 (0.28) ***,1.03 (0.28) ***,1.07 (0.28) ***,1.05 (0.28) ***,1.05 (0.28) ***,0.95 (0.27) ***,1.00 (0.28) ***,1.04 (0.28) ***,0.96 (0.28) ***,0.90 (0.28) ***
GDP pp,-0.06 (0.47) ,-0.08 (0.47) ,-0.15 (0.47) ,-0.20 (0.48) ,-0.10 (0.47) ,-0.18 (0.46) ,-0.06 (0.46) ,0.07 (0.49) ,0.19 (0.48) ,0.05 (0.46) 
Democracy,-0.10 (0.57) ,-0.12 (0.55) ,-0.10 (0.55) ,-0.09 (0.55) ,-0.07 (0.55) ,-0.36 (0.56) ,-0.12 (0.55) ,-0.05 (0.56) ,0.17 (0.56) ,0.05 (0.55) 
% Female Smoke,0.00 (0.52) ,0.05 (0.52) ,-0.02 (0.52) ,-0.06 (0.52) ,0.01 (0.52) ,-0.05 (0.51) ,0.08 (0.52) ,0.01 (0.52) ,0.02 (0.51) ,0.05 (0.51) 
% Male Smoke,-0.09 (0.56) ,-0.09 (0.56) ,-0.11 (0.56) ,-0.11 (0.56) ,-0.11 (0.56) ,0.03 (0.55) ,-0.01 (0.56) ,-0.12 (0.56) ,0.02 (0.56) ,-0.08 (0.55) 
Labor,-0.15 (0.58) ,-0.16 (0.58) ,-0.19 (0.57) ,-0.18 (0.58) ,-0.22 (0.58) ,-0.06 (0.57) ,-0.21 (0.57) ,-0.09 (0.58) ,-0.09 (0.57) ,-0.02 (0.57) 
Women's rights,0.13 (1.43) ,0.08 (1.40) ,0.06 (1.39) ,0.19 (1.40) ,0.05 (1.40) ,-0.25 (1.38) ,-0.13 (1.40) ,0.29 (1.41) ,-0.14 (1.39) ,0.02 (1.37) 
Population,0.32 (0.34) ,0.29 (0.35) ,0.38 (0.35) ,0.34 (0.34) ,0.32 (0.34) ,0.23 (0.34) ,0.28 (0.34) ,0.39 (0.35) ,0.46 (0.35) ,0.34 (0.34) 
Eastern Mediterranean,-0.45 (2.17) ,-0.41 (2.17) ,-0.28 (2.16) ,-0.82 (2.19) ,-0.34 (2.16) ,-0.75 (2.13) ,-0.98 (2.17) ,-0.43 (2.16) ,-0.51 (2.14) ,0.04 (2.14) 
European,0.86 (1.36) ,0.75 (1.37) ,0.74 (1.35) ,0.00 (1.56) ,0.81 (1.36) ,0.80 (1.33) ,0.25 (1.39) ,0.70 (1.37) ,0.13 (1.39) ,0.57 (1.34) 
African,-2.77 (1.28) **,-2.75 (1.28) **,-2.39 (1.30) *,-2.80 (1.28) **,-2.50 (1.30) *,-2.59 (1.26) **,-2.82 (1.27) **,-2.81 (1.28) **,-3.35 (1.30) **,-2.42 (1.26) *
Western Pacific,-0.10 (1.70) ,-0.11 (1.67) ,-0.30 (1.67) ,-0.72 (1.76) ,0.14 (1.68) ,-0.16 (1.64) ,-0.68 (1.69) ,-0.05 (1.67) ,-0.85 (1.69) ,0.05 (1.64) 
(Intercept),-1.94 (3.80) ,-1.90 (3.65) ,-2.12 (3.65) ,-4.18 (4.19) ,-1.62 (3.65) ,-2.02 (3.58) ,-1.24 (3.64) ,-3.47 (4.02) ,-4.45 (3.88) ,-3.57 (3.68) 
PolShift,0.16 (0.93) ,0.11 (0.93) ,0.22 (0.93) ,0.19 (0.93) ,0.20 (0.93) ,0.30 (0.91) ,0.07 (0.92) ,0.12 (0.93) ,0.04 (0.92) ,-0.01 (0.91) 
N,154,154,154,154,154,154,154,154,154,154
pseudo-R^2,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.08,0.08
Art. 13
rho,-0.00 (0.21) ,-0.01 (0.13) ,0.15 (0.21) ,0.01 (0.89) ,0.00 (0.15) ,0.04 (0.16) ,0.10 (0.10) ,0.30 (0.25) ,0.38 (0.22) *,0.37 (0.14) **
Gov. Ownership,1.45 (1.59) ,1.46 (1.59) ,1.43 (1.59) ,1.45 (1.61) ,1.45 (1.60) ,1.44 (1.59) ,1.27 (1.60) ,1.49 (1.58) ,1.64 (1.58) ,0.92 (1.58) 
Tobacco Prod. PP,-0.44 (0.54) ,-0.43 (0.54) ,-0.44 (0.54) ,-0.43 (0.54) ,-0.44 (0.54) ,-0.44 (0.54) ,-0.41 (0.54) ,-0.46 (0.54) ,-0.43 (0.53) ,-0.41 (0.54) 
Years since Sign.,0.81 (0.44) *,0.81 (0.44) *,0.77 (0.44) *,0.80 (0.44) *,0.80 (0.44) *,0.80 (0.44) *,0.74 (0.44) *,0.72 (0.44) ,0.76 (0.44) *,0.67 (0.43) 
Years since Ratif.,0.97 (0.35) ***,0.97 (0.35) ***,0.99 (0.35) ***,0.97 (0.35) ***,0.97 (0.35) ***,0.96 (0.35) ***,0.94 (0.35) ***,1.00 (0.35) ***,0.89 (0.34) ***,0.83 (0.34) **
GDP pp,0.21 (0.59) ,0.21 (0.59) ,0.13 (0.59) ,0.20 (0.60) ,0.21 (0.59) ,0.20 (0.58) ,0.14 (0.59) ,0.41 (0.61) ,0.50 (0.60) ,0.30 (0.57) 
Democracy,0.15 (0.70) ,0.15 (0.69) ,0.12 (0.69) ,0.15 (0.69) ,0.15 (0.69) ,0.10 (0.72) ,0.16 (0.69) ,0.26 (0.69) ,0.47 (0.71) ,0.32 (0.68) 
% Female Smoke,0.40 (0.65) ,0.39 (0.66) ,0.37 (0.65) ,0.40 (0.66) ,0.40 (0.65) ,0.40 (0.65) ,0.38 (0.65) ,0.42 (0.65) ,0.42 (0.64) ,0.46 (0.64) 
% Male Smoke,-0.07 (0.70) ,-0.07 (0.70) ,-0.07 (0.70) ,-0.07 (0.70) ,-0.07 (0.70) ,-0.05 (0.71) ,-0.05 (0.70) ,-0.14 (0.70) ,0.06 (0.70) ,-0.04 (0.69) 
Labor,-0.33 (0.72) ,-0.33 (0.72) ,-0.38 (0.72) ,-0.33 (0.72) ,-0.34 (0.73) ,-0.32 (0.72) ,-0.30 (0.72) ,-0.25 (0.72) ,-0.26 (0.71) ,-0.12 (0.71) 
Women's rights,3.28 (1.79) *,3.30 (1.78) *,3.19 (1.78) *,3.28 (1.79) *,3.28 (1.78) *,3.24 (1.79) *,3.15 (1.77) *,3.59 (1.79) **,3.07 (1.76) *,2.94 (1.74) *
Population,0.51 (0.43) ,0.52 (0.43) ,0.55 (0.43) ,0.51 (0.43) ,0.51 (0.43) ,0.50 (0.43) ,0.49 (0.43) ,0.62 (0.44) ,0.68 (0.43) ,0.55 (0.42) 
Eastern Mediterranean,3.77 (2.73) ,3.77 (2.71) ,3.42 (2.75) ,3.75 (2.98) ,3.76 (2.73) ,3.68 (2.73) ,3.35 (2.73) ,3.74 (2.70) ,3.65 (2.68) ,4.36 (2.67) 
European,2.51 (1.71) ,2.52 (1.73) ,2.11 (1.80) ,2.49 (2.21) ,2.50 (1.75) ,2.44 (1.73) ,2.26 (1.73) ,2.23 (1.72) ,1.69 (1.75) ,2.07 (1.69) 
African,0.18 (1.62) ,0.18 (1.62) ,0.22 (1.62) ,0.17 (1.66) ,0.18 (1.62) ,0.16 (1.62) ,0.05 (1.62) ,0.08 (1.62) ,-0.42 (1.64) ,0.53 (1.60) 
Western Pacific,2.77 (2.13) ,2.75 (2.10) ,2.48 (2.13) ,2.75 (2.24) ,2.76 (2.10) ,2.70 (2.12) ,2.55 (2.10) ,2.78 (2.09) ,1.93 (2.13) ,2.80 (2.06) 
(Intercept),-8.28 (4.74) *,-8.32 (4.64) *,-8.13 (4.64) *,-8.32 (5.03) *,-8.29 (4.69) *,-8.30 (4.63) *,-8.14 (4.62) *,-10.64 (5.06) **,-11.07 (4.92) **,-10.34 (4.66) **
PolShift,0.23 (1.16) ,0.23 (1.16) ,0.29 (1.16) ,0.23 (1.16) ,0.23 (1.16) ,0.26 (1.16) ,0.21 (1.15) ,0.12 (1.16) ,0.09 (1.15) ,-0.01 (1.14) 
N,154,154,154,154,154,154,154,154,154,154
pseudo-R^2,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07
Standard Errors in parenthesis. Signif. codes: 0.01: '***' 0.05: '**' 0.10 '*'
