"ego","alter","value"
"Chile","Argentina",5300
"Chile","Bolivia",861
"Chile","Peru",160
"People's Republic of China","Afghanistan",76
"People's Republic of China","Bhutan",470
"People's Republic of China","India",3380
"People's Republic of China","Kazakhstan",1533
"People's Republic of China","North Korea",1416
"People's Republic of China","Kyrgyzstan",858
"People's Republic of China","Laos",423
"People's Republic of China","Mongolia",4677
"People's Republic of China","Myanmar",2185
"People's Republic of China","Nepal",1236
"People's Republic of China","Pakistan",523
"People's Republic of China","Russia",3645
"People's Republic of China","Tajikistan",414
"People's Republic of China","Vietnam",1281
"Colombia","Brazil",1643
"Colombia","Ecuador",590
"Colombia","Panama",225
"Colombia","Peru",1496
"Colombia","Venezuela",2050
"Democratic Republic of the Congo","Angola",2511
"Democratic Republic of the Congo","Burundi",233
"Democratic Republic of the Congo","Central African Republic",1577
"Democratic Republic of the Congo","Republic of the Congo",2410
"Democratic Republic of the Congo","Rwanda",217
"Democratic Republic of the Congo","South Sudan",628
"Democratic Republic of the Congo","Tanzania",459
"Democratic Republic of the Congo","Uganda",765
"Democratic Republic of the Congo","Zambia",1930
"Republic of the Congo","Angola",201
"Republic of the Congo","Cameroon",523
"Republic of the Congo","Central African Republic",467
"Republic of the Congo","Democratic Republic of the Congo",2410
"Republic of the Congo","Gabon",1903
"Costa Rica","Nicaragua",309
"Costa Rica","Panama",330
"Côte d'Ivoire","Burkina Faso",584
"Côte d'Ivoire","Ghana",668
"Côte d'Ivoire","Guinea",610
"Côte d'Ivoire","Liberia",716
"Côte d'Ivoire","Mali",532
"Croatia","Bosnia and Herzegovina",932
"Croatia","Hungary",329
"Croatia","Montenegro",25
"Croatia","Serbia",241
"Croatia","Slovenia",670
"Cyprus","United Kingdom",0
"Northern Cyprus","United Kingdom",0
"Northern Cyprus","Cyprus",0
"Czech Republic","Austria",362
"Czech Republic","Germany",815
"Czech Republic","Poland",658
"Czech Republic","Slovakia",215
"Denmark","Germany",68
"Djibouti","Eritrea",109
"Djibouti","Ethiopia",349
"Djibouti","Somalia",58
"Dominican Republic","Haiti",360
"East Timor","Indonesia",228
"Ecuador","Colombia",590
"Ecuador","Peru",1420
"Egypt","Israel",266
"Egypt","Libya",1115
"Egypt","Sudan",1273
"El Salvador","Guatemala",203
"El Salvador","Honduras",342
"Equatorial Guinea","Cameroon",189
"Equatorial Guinea","Gabon",350
"Eritrea","Djibouti",109
"Eritrea","Ethiopia",912
"Eritrea","Sudan",605
"Estonia","Latvia",339
"Estonia","Russia",294
"Ethiopia","Djibouti",349
"Ethiopia","Eritrea",912
"Ethiopia","Kenya",861
"Ethiopia","Somalia",1600
"Ethiopia","South Sudan",883
"Ethiopia","Sudan",723
"European Union","Albania",282
"European Union","Andorra",120.3
"European Union","Belarus",1050
"European Union","Bosnia and Herzegovina",932
"European Union","Brazil",673
"European Union","Liechtenstein",34.9
"European Union","Macedonia",394
"European Union","Moldova",450
"European Union","Monaco",4.4
"European Union","Montenegro",25
"European Union","Morocco",16
"European Union","Norway",2348
"European Union","Russia",2257
"European Union","San Marino",39
"European Union","Serbia",1186
"European Union","Suriname",510
"European Union","Switzerland",1811
"European Union","Turkey",446
"European Union","Ukraine",1257
"European Union","Vatican City",3.2
"Finland","Norway",736
"Finland","Sweden",614
"Finland","Russia",1340
"France","Andorra",56.6
"France","Belgium",620
"France","Germany",451
"France","Italy",488
"France","Luxembourg",73
"France","Monaco",4.4
"France","Spain",623
"France","Switzerland",573
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Andorra",56.6
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Belgium",620
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Brazil",673
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Germany",451
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Italy",488
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Luxembourg",73
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Monaco",4.4
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Netherlands",0
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Spain",623
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Suriname",510
"France (including French overseas departments, collectivities, and territories)

→includes: 
→ Clipperton Island
→ French Guiana
→ French Polynesia
→ French Southern and Antarctic Lands
→ Guadeloupe
→ Martinique
→ Mayotte
→ New Caledonia
→ Réunion
→ Saint Barthélemy
→ Saint Martin
→ Saint Pierre and Miquelon
→ Wallis and Futuna","Switzerland",573
"French Guiana (France)","Brazil",673
"French Guiana (France)","Suriname",510
"Gabon","Cameroon",298
"Gabon","Republic of the Congo",1903
"Gabon","Equatorial Guinea",350
"The Gambia","Senegal",740
"Gaza Strip (Palestinian territories)","Egypt",11
"Gaza Strip (Palestinian territories)","Israel",51
"Georgia","Armenia",164
"Georgia","Azerbaijan",322
"Georgia","Russia",723
"Georgia","Turkey",252
"Germany","Austria",784
"Germany","Belgium",167
"Germany","Czech Republic",815
"Germany","Denmark",68
"Germany","France",451
"Germany","Luxembourg",138
"Germany","Netherlands",577
"Germany","Poland",456
"Germany","Switzerland",334
"Ghana","Burkina Faso",549
"Ghana","Togo",877
"Gibraltar (United Kingdom)","Spain",1.2
"Greece","Albania",282
"Greece","Bulgaria",494
"Greece","Turkey",206
"Greece","Macedonia",246
"Guatemala","Belize",266
"Guatemala","El Salvador",203
"Guatemala","Honduras",256
"Guatemala","Mexico",962
"Guinea","Guinea",0
"Guinea","Liberia",563
"Guinea","Mali",858
"Guinea","Senegal",330
"Guinea","Sierra Leone",652
"Guinea-Bissau","Guinea",386
"Guinea-Bissau","Senegal",338
"Guyana","Brazil",1119
"Guyana","Suriname",600
"Guyana","Venezuela",743
"Haiti","Dominican Republic",360
"Honduras","Guatemala",256
"Honduras","El Salvador",342
"Honduras","Nicaragua",922
"Hong Kong (People's Republic of China)","People's Republic of China",30
"Hungary","Austria",366
"Hungary","Croatia",329
"Hungary","Romania",443
"Hungary","Serbia",151
"Hungary","Slovakia",677
"Hungary","Slovenia",102
"Hungary","Ukraine",103
"India","Bangladesh",4053
"India","Bhutan",605
"India","People's Republic of China",3380
"India","Myanmar",1463
"India","Nepal",1690
"India","Pakistan",2912
"India","Sri Lanka",0.1
"Indonesia","East Timor",228
"Indonesia","Malaysia",1782
"Indonesia","Papua New Guinea",820
"Iran","Afghanistan",936
"Iran","Armenia",35
"Iran","Azerbaijan",432
"Iran","Iraq",1458
"Iran","Pakistan",909
"Iran","Turkey",499
"Iran","Turkmenistan",992
"Iraq","Iran",1458
"Iraq","Jordan",181
"Iraq","Kuwait",240
"Iraq","Saudi Arabia",814
"Iraq","Syria",605
"Iraq","Turkey",352
"Ireland","United Kingdom",360
"Israel","Egypt",266
"Israel","Jordan",238
"Israel","Lebanon",79
"Israel","Syria",76
"Italy","Austria",430
"Italy","France",488
"Italy","San Marino",39
"Italy","Slovenia",232
"Italy","Switzerland",740
"Italy","Vatican City",3.2
"Jordan","Iraq",181
"Jordan","Israel",238
"Jordan","Saudi Arabia",744
"Jordan","Syria",375
"Kazakhstan","People's Republic of China",1533
"Kazakhstan","Kyrgyzstan",1051
"Kazakhstan","Russia",6846
"Kazakhstan","Turkmenistan",379
"Kazakhstan","Uzbekistan",2203
"Kenya","Ethiopia",861
"Kenya","Somalia",682
"Kenya","South Sudan",232
"Kenya","Tanzania",769
"Kenya","Uganda",933
"North Korea","People's Republic of China",1416
"North Korea","South Korea",238
"North Korea","Russia",19
"South Korea","North Korea",238
"Kosovo","Albania",112
"Kosovo","Macedonia",159
"Kosovo","Montenegro",79
"Kosovo","Serbia",352
"Kuwait","Iraq",240
"Kuwait","Saudi Arabia",222
"Kyrgyzstan","People's Republic of China",858
"Kyrgyzstan","Kazakhstan",1051
"Kyrgyzstan","Tajikistan",870
"Kyrgyzstan","Uzbekistan",1099
"Laos","Cambodia",541
"Laos","People's Republic of China",423
"Laos","Myanmar",235
"Laos","Thailand",1754
"Laos","Vietnam",2130
"Latvia","Belarus",141
"Latvia","Estonia",339
"Latvia","Lithuania",453
"Latvia","Russia",217
"Lebanon","Israel",79
"Lebanon","Syria",375
"Lesotho","South Africa",909
"Liberia","Guinea",563
"Liberia","Sierra Leone",306
"Libya","Algeria",982
"Libya","Chad",1055
"Libya","Egypt",1115
"Libya","Niger",354
"Libya","Sudan",383
"Libya","Tunisia",459
"Liechtenstein","Austria",34.9
"Liechtenstein","Switzerland",41.1
"Lithuania","Belarus",502
"Lithuania","Latvia",453
"Lithuania","Poland",91
"Lithuania","Russia",227
"Luxembourg","Belgium",148
"Luxembourg","France",73
"Luxembourg","Germany",138
"Macau (People's Republic of China)","People's Republic of China",0.34
"Macedonia","Albania",151
"Macedonia","Bulgaria",148
"Macedonia","Greece",246
"Macedonia","Kosovo",159
"Macedonia","Serbia",62
"Malawi","Mozambique",1569
"Malawi","Tanzania",475
"Malawi","Zambia",837
"Malaysia","Brunei",381
"Malaysia","Indonesia",1782
"Malaysia","Thailand",506
"Mali","Algeria",1376
"Mali","Burkina Faso",1000
"Mali","Guinea",858
"Mali","Mauritania",2237
"Mali","Niger",821
"Mali","Senegal",419
"Mauritania","Algeria",463
"Mauritania","Mali",2237
"Mauritania","Senegal",813
"Mauritania","Western Sahara",1561
"Mexico","Belize",250
"Mexico","Guatemala",962
"Mexico","United States",3141
"Moldova","Romania",450
"Moldova","Ukraine",939
"Monaco","France",4.4
"Mongolia","People's Republic of China",4677
"Mongolia","Russia",3485
"Montenegro","Albania",172
"Montenegro","Bosnia and Herzegovina",225
"Montenegro","Croatia",25
"Montenegro","Kosovo",79
"Montenegro","Serbia",124
"Morocco","Algeria",1559
"Morocco","Western Sahara",443
"Morocco","Spain",17
"Mozambique","Malawi",1569
"Mozambique","South Africa",491
"Mozambique","Swaziland",105
"Mozambique","Tanzania",756
"Mozambique","Zambia",419
"Mozambique","Zimbabwe",1231
"Myanmar","Bangladesh",193
"Myanmar","People's Republic of China",2185
"Myanmar","India",1463
"Myanmar","Laos",235
"Myanmar","Thailand",1800
"Nagorno-Karabakh Republic","Armenia",0
"Nagorno-Karabakh Republic","Azerbaijan",0
"Nagorno-Karabakh Republic","Iran",0
"Namibia","Angola",1376
"Namibia","Botswana",1360
"Namibia","South Africa",967
"Namibia","Zambia",233
"Nepal","People's Republic of China",1236
"Nepal","India",1690
"Netherlands","Belgium",450
"Netherlands","Germany",577
"Netherlands, Kingdom of the

→includes: 
→ Aruba
→ Curaçao
→ Netherlands (including Caribbean Netherlands)
→ Sint Maarten","Belgium",450
"Netherlands, Kingdom of the

→includes: 
→ Aruba
→ Curaçao
→ Netherlands (including Caribbean Netherlands)
→ Sint Maarten","Germany",577
"Netherlands, Kingdom of the

→includes: 
→ Aruba
→ Curaçao
→ Netherlands (including Caribbean Netherlands)
→ Sint Maarten","Saint Martin",0
"Netherlands, Kingdom of the

→includes: 
→ Aruba
→ Curaçao
→ Netherlands (including Caribbean Netherlands)
→ Sint Maarten","France",0
"Nicaragua","Costa Rica",309
"Nicaragua","Honduras",922
"Niger","Algeria",956
"Niger","Benin",266
"Niger","Burkina Faso",628
"Niger","Chad",1175
"Niger","Libya",354
"Niger","Mali",821
"Niger","Nigeria",1497
"Nigeria","Benin",773
"Nigeria","Cameroon",1690
"Nigeria","Chad",87
"Nigeria","Niger",1497
"Norway","Finland",736
"Norway","Sweden",1619
"Norway","Russia",196
"Oman","Saudi Arabia",676
"Oman","United Arab Emirates",410
"Oman","Yemen",288
"Pakistan","Afghanistan",2430
"Pakistan","People's Republic of China",523
"Pakistan","India",2912
"Pakistan","Iran",909
"Palestine","Egypt",11
"Palestine","Israel",358
"Palestine","Jordan",97
"Panama","Colombia",225
"Panama","Costa Rica",330
"Papua New Guinea","Indonesia",820
"Paraguay","Argentina",1880
"Paraguay","Bolivia",750
"Paraguay","Brazil",1290
"Peru","Bolivia",900
"Peru","Brazil",1560
"Peru","Chile",160
"Peru","Colombia",1496
"Peru","Ecuador",1420
"Poland","Belarus",407
"Poland","Czech Republic",658
"Poland","Germany",456
"Poland","Lithuania",91
"Poland","Russia",206
"Poland","Slovakia",444
"Poland","Ukraine",526
"Portugal","Spain",1214
"Qatar","Saudi Arabia",60
"Qatar","United Arab Emirates",19
"Queen Maud Land (Norway)","United Kingdom",0
"Romania","Bulgaria",608
"Romania","Hungary",443
"Romania","Moldova",450
"Romania","Serbia",476
"Romania","Ukraine",531
"Russia","Azerbaijan",284
"Russia","Belarus",959
"Russia","People's Republic of China",3645
"Russia","Estonia",294
"Russia","Finland",1340
"Russia","Georgia",723
"Russia","Kazakhstan",6846
"Russia","North Korea",19
"Russia","Latvia",217
"Russia","Lithuania",227
"Russia","Mongolia",3485
"Russia","Norway",196
"Russia","Poland",206
"Russia","Ukraine",1576
"Rwanda","Burundi",290
"Rwanda","Democratic Republic of the Congo",217
"Rwanda","Tanzania",217
"Rwanda","Uganda",169
"Saint Martin","Netherlands",0
"San Marino","Italy",39
"Saudi Arabia","Iraq",814
"Saudi Arabia","Jordan",744
"Saudi Arabia","Kuwait",222
"Saudi Arabia","Oman",676
"Saudi Arabia","Qatar",60
"Saudi Arabia","United Arab Emirates",457
"Saudi Arabia","Yemen",1458
"Senegal","The Gambia",740
"Senegal","Guinea",330
"Senegal","Guinea",0
"Senegal","Mali",419
"Senegal","Mauritania",813
"Serbia","Bosnia and Herzegovina",302
"Serbia","Bulgaria",318
"Serbia","Croatia",241
"Serbia","Hungary",151
"Serbia","Kosovo",352
"Serbia","Macedonia",62
"Serbia","Montenegro",124
"Serbia","Romania",476
"Sierra Leone","Guinea",652
"Sierra Leone","Liberia",306
"Sint Maarten (Netherlands)","Saint Martin",0
"Sint Maarten (Netherlands)","France",0
"Slovakia","Austria",91
"Slovakia","Czech Republic",215
"Slovakia","Hungary",677
"Slovakia","Poland",444
"Slovakia","Ukraine",97
"Slovenia","Austria",330
"Slovenia","Croatia",670
"Slovenia","Italy",232
"Slovenia","Hungary",102
"Somalia","Djibouti",58
"Somalia","Ethiopia",1600
"Somalia","Kenya",682
"Somaliland","Djibouti",58
"Somaliland","Ethiopia",0
"Somaliland","Somalia",0
"South Africa","Botswana",1840
"South Africa","Lesotho",909
"South Africa","Mozambique",491
"South Africa","Namibia",967
"South Africa","Swaziland",430
"South Africa","Zimbabwe",225
"South Sudan","Central African Republic",682
"South Sudan","Democratic Republic of the Congo",628
"South Sudan","Ethiopia",883
"South Sudan","Kenya",232
"South Sudan","Sudan",1937
"South Sudan","Uganda",435
"Spain","Andorra",63.7
"Spain","France",623
"Spain","Portugal",1214
"Spain","Morocco",17
"Sri Lanka","India",0.1
"Sudan","Central African Republic",483
"Sudan","Chad",1360
"Sudan","Egypt",1273
"Sudan","Eritrea",605
"Sudan","Ethiopia",723
"Sudan","Libya",383
"Sudan","South Sudan",1937
"Suriname","Brazil",597
"Suriname","France",0
"Suriname","Guyana",600
"Swaziland","Mozambique",105
"Swaziland","South Africa",430
"Sweden","Finland",614
"Sweden","Norway",1619
"Switzerland","Austria",164
"Switzerland","France",573
"Switzerland","Italy",740
"Switzerland","Liechtenstein",41
"Switzerland","Germany",334
"Syria","Iraq",605
"Syria","Israel",76
"Syria","Jordan",375
"Syria","Lebanon",375
"Syria","Turkey",822
"Tajikistan","Afghanistan",1206
"Tajikistan","People's Republic of China",414
"Tajikistan","Kyrgyzstan",870
"Tajikistan","Uzbekistan",1161
"Tanzania","Burundi",451
"Tanzania","Democratic Republic of the Congo",459
"Tanzania","Kenya",769
"Tanzania","Malawi",475
"Tanzania","Mozambique",756
"Tanzania","Rwanda",217
"Tanzania","Uganda",396
"Tanzania","Zambia",338
"Thailand","Cambodia",803
"Thailand","Laos",1754
"Thailand","Malaysia",506
"Thailand","Myanmar",1800
"Togo","Benin",644
"Togo","Burkina Faso",126
"Togo","Ghana",877
"Transnistria","Moldova",0
"Transnistria","Ukraine",0
"Tunisia","Algeria",965
"Tunisia","Libya",459
"Turkey","Armenia",268
"Turkey","Azerbaijan",9
"Turkey","Bulgaria",240
"Turkey","Georgia",252
"Turkey","Greece",206
"Turkey","Iran",499
"Turkey","Iraq",352
"Turkey","Syria",822
"Turkmenistan","Afghanistan",744
"Turkmenistan","Iran",992
"Turkmenistan","Kazakhstan",379
"Turkmenistan","Uzbekistan",1621
"Uganda","Democratic Republic of the Congo",765
"Uganda","Kenya",933
"Uganda","Rwanda",169
"Uganda","South Sudan",435
"Uganda","Tanzania",396
"Ukraine","Belarus",891
"Ukraine","Hungary",103
"Ukraine","Moldova",939
"Ukraine","Poland",526
"Ukraine","Romania",531
"Ukraine","Russia",1576
"Ukraine","Slovakia",97
"United Arab Emirates","Oman",410
"United Arab Emirates","Qatar",19
"United Arab Emirates","Saudi Arabia",457
"United Kingdom","Ireland",360
"United Kingdom (plus British overseas territories and Crown dependencies)

→including: 
→ Akrotiri and Dhekelia
→ Anguilla
→ Bermuda
→ British Indian Ocean Territory
→ British Virgin Islands
→ Cayman Islands
→ Falkland Islands
→ Gibraltar
→ Guernsey
→ Isle of Man
→ Jersey
→ Montserrat
→ Pitcairn Islands
→ Saint Helena, Ascension and Tristan da Cunha
→ South Georgia and the South Sandwich Islands
→ Turks and Caicos Islands","Cyprus",152
"United Kingdom (plus British overseas territories and Crown dependencies)

→including: 
→ Akrotiri and Dhekelia
→ Anguilla
→ Bermuda
→ British Indian Ocean Territory
→ British Virgin Islands
→ Cayman Islands
→ Falkland Islands
→ Gibraltar
→ Guernsey
→ Isle of Man
→ Jersey
→ Montserrat
→ Pitcairn Islands
→ Saint Helena, Ascension and Tristan da Cunha
→ South Georgia and the South Sandwich Islands
→ Turks and Caicos Islands","Ireland",360
"United Kingdom (plus British overseas territories and Crown dependencies)

→including: 
→ Akrotiri and Dhekelia
→ Anguilla
→ Bermuda
→ British Indian Ocean Territory
→ British Virgin Islands
→ Cayman Islands
→ Falkland Islands
→ Gibraltar
→ Guernsey
→ Isle of Man
→ Jersey
→ Montserrat
→ Pitcairn Islands
→ Saint Helena, Ascension and Tristan da Cunha
→ South Georgia and the South Sandwich Islands
→ Turks and Caicos Islands","Spain",1.2
"United States","Canada",8893
"United States","Mexico",3141
"Uruguay","Argentina",579
"Uruguay","Brazil",985
"Uzbekistan","Afghanistan",137
"Uzbekistan","Kazakhstan",2203
"Uzbekistan","Kyrgyzstan",1099
"Uzbekistan","Tajikistan",1161
"Uzbekistan","Turkmenistan",1621
"Vatican City","Italy",3.2
"Venezuela","Brazil",2200
"Venezuela","Colombia",2050
"Venezuela","Guyana",743
"Vietnam","Cambodia",1228
"Vietnam","People's Republic of China",1281
"Vietnam","Laos",2130
"West Bank (Palestinian territories)","Israel",307
"West Bank (Palestinian territories)","Jordan",97
"Western Sahara","Algeria",42
"Western Sahara","Mauritania",1561
"Western Sahara","Morocco",443
"Yemen","Oman",288
"Yemen","Saudi Arabia",1458
"Zambia","Angola",1110
"Zambia","Botswana",0.15
"Zambia","Democratic Republic of the Congo",1930
"Zambia","Malawi",837
"Zambia","Mozambique",419
"Zambia","Namibia",233
"Zambia","Tanzania",338
"Zambia","Zimbabwe",797
"Zimbabwe","Botswana",813
"Zimbabwe","Mozambique",1231
"Zimbabwe","South Africa",225
"Zimbabwe","Zambia",797
